interval_start,interval_end,number_of_trips,rental_place,return_place
2019-11-30 11:30:00,2019-11-30 11:45:00,1,125,121
2019-11-30 11:45:00,2019-11-30 12:00:00,1,125,121
2019-11-30 12:00:00,2019-11-30 12:15:00,1,125,121
2019-11-30 12:15:00,2019-11-30 12:30:00,1,125,121
2019-11-30 12:30:00,2019-11-30 12:45:00,1,125,121
2019-11-30 12:45:00,2019-11-30 13:00:00,1,125,121
2019-11-30 13:00:00,2019-11-30 13:15:00,1,125,121
2019-11-30 13:15:00,2019-11-30 13:30:00,1,125,121
2019-11-30 13:30:00,2019-11-30 13:45:00,1,125,121
2019-11-30 13:45:00,2019-11-30 14:00:00,1,125,121
2019-11-30 14:00:00,2019-11-30 14:15:00,1,125,121
2019-11-30 14:15:00,2019-11-30 14:30:00,1,125,121
2019-11-30 14:30:00,2019-11-30 14:45:00,1,125,121
2019-11-30 14:45:00,2019-11-30 15:00:00,1,125,121
2019-11-30 15:00:00,2019-11-30 15:15:00,1,125,121
2019-11-30 15:15:00,2019-11-30 15:30:00,1,125,121
2019-11-30 15:30:00,2019-11-30 15:45:00,1,125,121
2019-11-30 15:45:00,2019-11-30 16:00:00,1,125,121
2019-11-30 16:00:00,2019-11-30 16:15:00,1,125,121
2019-11-30 16:15:00,2019-11-30 16:30:00,1,125,121
2019-11-30 16:30:00,2019-11-30 16:45:00,1,125,121
2019-11-30 16:45:00,2019-11-30 17:00:00,1,125,121
2019-11-30 17:00:00,2019-11-30 17:15:00,1,125,121
2019-11-30 17:15:00,2019-11-30 17:30:00,1,125,121
2019-11-30 17:30:00,2019-11-30 17:45:00,1,125,121
2019-11-30 17:45:00,2019-11-30 18:00:00,1,125,121
2019-11-30 18:00:00,2019-11-30 18:15:00,1,125,121
2019-11-30 18:15:00,2019-11-30 18:30:00,1,125,121
2019-11-30 18:30:00,2019-11-30 18:45:00,1,125,121
2019-11-30 18:45:00,2019-11-30 19:00:00,1,125,121
2019-11-30 19:00:00,2019-11-30 19:15:00,1,125,121
2019-11-30 19:15:00,2019-11-30 19:30:00,1,125,121
