name,value
Żeromskiego / Kluczborska,98
Strachowskiego / Parafialna,99
Łukasiewicza / Smoluchowskiego (PWr),100
Żeromskiego / Daszyńskiego,101
Na Grobli (PWr - Geocentrum),102
pl. Powstańców Wielkopolskich,103
Krucza / Mielecka / Stalowa,104
Krakowska / Leroy Merlin,105
Aleja Hallera / Mielecka,106
Hubska / Prudnicka,107
Żmigrodzka / Marino,108
Bardzka / Piękna,109
Obornicka / Bałtycka,110
Kozanowska / Pilczycka,111
Osobowicka - pętla tramwajowa,112
Grabiszyńska / Magazynierska (Corte Verona),113
Świeradowska / Krynicka,114
Pilczycka / Kozanowska,115
Prochowicka / Dolnobrzeska,116
Solskiego / al. Piastów,117
Stabłowicka / Główna ,118
Wróblewskiego (Teki),119
Skarbowców / Wietrzna,120
Klecińska / Duńska,121
Plac Uniwersytecki (UWr),122
Mińska / stanisławowska,123
Sienkiewicza / Piastowska,124
"Grochowa / Jemiołowa,",125
Janiszewskiego (PWr),126
Mościckiego (stacja kolejowa),127
Plac Jana Pawła II (Akademia Muzyczna),128
Trymanda / Mińska,129
Na Ostatnim Groszu,130
Bałtycka / Żmigrodzka,131
Plac Grunwaldzki / Polaka,132
Nowowiejska / Jedności Narodowej,133
Waniliowa / Cynamonowa,134
Pilczycka / Koszykarska,135
Bystrzycka / Idzikowskiego,136
Norwida / Wyspiańskiego (PWr),137
Oporów (pętla tramwajowa),138
Wałbrzyska - pętla tramwajowa,139
Koszarowa / UWr,140
Rynek,141
al. Karkonoska / Jeździecka,142
al. Armii Krajowej / Borowska,143
"Wrocław Leśnica, stacja kolejowa",144
Kasprowicza / Syrokomli,145
Pilczycka (Stadion Miejski),146
Lotnicza / Metalowców,147
Krzywoustego / Korona,148
Olszewskiego / Spółdzielcza,149
Gliniana / Gajowa,150
Aleja Kromera,151
Miłoszycka / Swojczycka ,152
al. Kochanowskiego / Śniadeckich ,153
Tarnogajska / Klimasa,154
Opolska / Siemianowicka,155
Semaforowa,156
al. Poprzeczna / stacja kolejowa,157
Reymonta / Kleczkowska,158
Żernicka,159
Mickiewicza / pętla tramwajowa,160
Rogowska / Zemska,161
Popowicka ,162
Jedności Narodowej / Wyszyńskiego,163
Drzewieckiego / Dedala,164
Boguszowska / Kosmonautów,165
Opolska / pętla tramwajowa,166
Leśnica - pętla tramwajowa,167
Ślężna / pętla tramwajowa,168
Popowicka / Niedźwiedzia ,169
Przyjaźni / Karkonoska,170
Okulickiego,171
al. Brücknera / Kwidzyńska,172
Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),173
Przyjaźni,174
al. Jana III Sobieskiego / stacja kolejowa,175
Bacciarellego / pętla autobusowa,176
Buforowa - Vivaldiego,177
Hallera / Odkrywców,178
Kraszewskiego / Trzebnicka,179
Centrum Handlowe Auchan Bielany,180
"Olszewskiego, pętla tramwajowa",181
al. Kochanowskiego / Kopernika,182
Sołtysowicka / Redycka,183
Robotnicza / Fabryczna,184
Joliot-Curie (Uwr),185
Gorlicka / Litewska,186
Jagodzińska / Buforowa,187
Zatorska / Królewska - pętla MPK,188
Stadion Olimpijski,189
Hermanowska / Kołobrzeska,190
"Wrocław Stadion, stacja kolejowa",191
Średzka / Dolnobrzeska ,192
Poleska / Litewska,193
Mościckiego / Chińska ,194
Wilanowska,195
Kosmonautów / Glinianki / WUWA2,196
Traktatowa (przystanek kolejowy),197
Księgarska / Dekarska / Zduńska,198
Fabryczna  (WSB),199
Strachocińska / Wieśniacza,200
Stabłowicka ,201
.RELOKACYJNA A1-4,202
