name,value
Kołłątaja / Podwale,0
Strzegomska / Rogowska ,1
Komandorska / Sanocka,2
Kazimierza Wielkiego (Helios),3
Dyrekcyjna / Borowska (Wroclavia),4
Piaskowa / św. Ducha,5
Graniczna / Strzegomska,6
Tyrmanda / Trawowa,7
Śrubowa / Strzegomska,8
Plac Świętego Macieja / Trzebnicka,9
Plac Dominikański (Galeria Dominikańska),10
Dworzec Główny ,11
Strzegomska / Estońska,12
Legnicka (Park Magnolia),13
Świdnicka / Piłsudskiego (Hotel Scandic),14
Świeradowska (Ferio Gaj ),15
Konduktorska,16
al. Armii Krajowej / Tarnogajska,17
Legnicka / Młodych Techników,18
Drobnera / Dubois,19
Traugutta / Pułaskiego,20
"Dworzec Główny, południe",21
Powstańców Śląskich (Arkady Wrocławskie),22
Lotnicza / Bajana,23
al. Armii Krajowej / Bardzka,24
Plac Powstańców Śląskich,25
Szewska / Kazimierza Wielkiego ,26
Pereca / Grabiszyńska,27
Mrągowska / Rolna,28
Rondo Reagana,29
Wróblewskiego (ZOO),30
Zaporoska / Grabiszyńska,31
Szczęśliwa (Sky Tower),32
Plac Legionów,33
Plac Grunwaldzki (DS Ołówek),34
"Paprotna / Obornicka, zajezdnia MPK",35
Fosa Miejska ,36
Fabryczna / Wagonowa,37
Grabiszyńska / Aleja Hallera,38
pl. Orląt Lwowskich,39
Plac Powstańców Warszawy (Muzeum Narodowe),40
Racławicka / Rymarska,41
Ślężna / Kamienna (Uniw. Ekonomiczny),42
Plac Staszica,43
Krzywoustego - Rynek Psie Pole,44
Kamienna / Borowska (Aquapark),45
Zaporoska / Gajowicka,46
Plac Kościuszki (Renoma),47
Legnicka / Zachodnia ,48
Traugutta / Kościuszki,49
Partyzantów / Okrzei,50
Kurkowa / Dubois,51
Plac Strzegomski / Poznańska,52
Legnicka / Wejherowska,53
Lotnicza / Na Ostatnim Groszu,54
Powstańcow Śląskich / Aleja Hallera,55
Ślężna / Aleja Wiśniowa,56
Kościuszki / Komuny Paryskiej / Zgodna,57
Nowowiejska / Górnickiego,58
Komandorska / Kamienna,59
Sienkiewicza / Wyszyńskiego,60
Ślężna / Skierniewicka,61
Berenta / Kasprowicza,62
Wita Stwosza / Szewska,63
Zwycięska / Ołtaszyńska,64
Drobnera / Plac Bema,65
Zwycięska / Agrestowa,66
Nyska / Piękna,67
Promenady Wrocławskie,68
Kamieńskiego / Jutrosińska,69
Stacyjna (Dworzec Mikołajów),70
Nyska / Jesionowa,71
Kiełczowska,72
Bezpieczna / Obornicka,73
Grabiszyńska / Stalowa,74
Kościuszki / Pułaskiego,75
Marca Polo (Olimpia Port),76
Nowowiejska / Wyszyńskiego,77
Bacciarellego,78
Borowska (Uniw. Szpital Kliniczny),79
Poniatowskiego / Oleśnicka,80
Zachodnia / Poznańska,81
Młodych Techników,82
Grota-Roweckiego / Parafialna,83
Krzycka / Aleja Karkonoska (Park Południowy),84
Wojanowska / Arbuzowa ,85
Kamienna / Tomaszowska,86
Jagiełły / Dmowskiego ,87
Wyszyńskiego / Szczytnicka,88
"Kosmonautów / Fieldorfa, szpital wojewódzki",89
Żmigrodzka / Broniewskiego,90
Osobowicka / Ostrowska,91
Zaporoska / Wielka / Krucza,92
Żelazna / Pereca,93
Maślicka / Stodolna,94
Aleja Bielany,95
Karwińska / Opolska,96
Czekoladowa / Wałbrzyska,97
