name,value
Kazimierza Wielkiego (Helios),0
"Dworzec Główny, południe",1
Traugutta / Kościuszki,2
Rondo Reagana,3
Wyszyńskiego / Szczytnicka,4
Norwida / Wyspiańskiego (PWr),5
Wita Stwosza / Szewska,6
Plac Uniwersytecki (UWr),7
Kościuszki / Pułaskiego,8
Plac Legionów,9
Lotnicza / Na Ostatnim Groszu,10
Traugutta / Pułaskiego,11
Zaporoska / Grabiszyńska,12
Rynek,13
Drobnera / Dubois,14
Plac Jana Pawła II (Akademia Muzyczna),15
Plac Świętego Macieja / Trzebnicka,16
Drobnera / Plac Bema,17
Janiszewskiego (PWr),18
Nowowiejska / Górnickiego,19
Plac Powstańców Warszawy (Muzeum Narodowe),20
Nowowiejska / Wyszyńskiego,21
Legnicka / Zachodnia ,22
Komandorska / Sanocka,23
Sienkiewicza / Wyszyńskiego,24
Kościuszki / Komuny Paryskiej / Zgodna,25
Poniatowskiego / Oleśnicka,26
Legnicka / Młodych Techników,27
Plac Grunwaldzki / Polaka,28
Na Grobli (PWr - Geocentrum),29
Powstańcow Śląskich / Aleja Hallera,30
Nowowiejska / Jedności Narodowej,31
Dyrekcyjna / Borowska (Wroclavia),32
Pilczycka / Kozanowska,33
Świeradowska (Ferio Gaj ),34
Jagiełły / Dmowskiego ,35
Grabiszyńska / Aleja Hallera,36
Krzycka / Aleja Karkonoska (Park Południowy),37
Dworzec Główny ,38
Zwycięska / Ołtaszyńska,39
Powstańców Śląskich (Arkady Wrocławskie),40
Aleja Kromera,41
Grabiszyńska / Stalowa,42
Świdnicka / Piłsudskiego (Hotel Scandic),43
Fosa Miejska ,44
Plac Grunwaldzki (DS Ołówek),45
Plac Strzegomski / Poznańska,46
Kamienna / Borowska (Aquapark),47
Szczęśliwa (Sky Tower),48
Zachodnia / Poznańska,49
Ślężna / Kamienna (Uniw. Ekonomiczny),50
Wróblewskiego (ZOO),51
Grabiszyńska / Magazynierska (Corte Verona),52
Wałbrzyska - pętla tramwajowa,53
Łukasiewicza / Smoluchowskiego (PWr),54
Plac Kościuszki (Renoma),55
Plac Dominikański (Galeria Dominikańska),56
Borowska (Uniw. Szpital Kliniczny),57
Plac Powstańców Śląskich,58
Kurkowa / Dubois,59
Trymanda / Mińska,60
Sienkiewicza / Piastowska,61
Pereca / Grabiszyńska,62
Szewska / Kazimierza Wielkiego ,63
Zaporoska / Gajowicka,64
Promenady Wrocławskie,65
Strzegomska / Estońska,66
Zatorska / Królewska - pętla MPK,67
"Grochowa / Jemiołowa,",68
Na Ostatnim Groszu,69
Traktatowa (przystanek kolejowy),70
Tyrmanda / Trawowa,71
Krzywoustego - Rynek Psie Pole,72
Żeromskiego / Kluczborska,73
Bardzka / Piękna,74
Żmigrodzka / Broniewskiego,75
Buforowa - Vivaldiego,76
Legnicka / Wejherowska,77
Krucza / Mielecka / Stalowa,78
Ślężna / Aleja Wiśniowa,79
Joliot-Curie (Uwr),80
Wróblewskiego (Teki),81
Stacyjna (Dworzec Mikołajów),82
Osobowicka - pętla tramwajowa,83
Żelazna / Pereca,84
Oporów (pętla tramwajowa),85
Fabryczna / Wagonowa,86
Robotnicza / Fabryczna,87
Legnicka (Park Magnolia),88
Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),89
Żeromskiego / Daszyńskiego,90
Mościckiego (stacja kolejowa),91
Aleja Hallera / Mielecka,92
Śrubowa / Strzegomska,93
Pilczycka (Stadion Miejski),94
Marca Polo (Olimpia Port),95
Żernicka,96
Fabryczna  (WSB),97
Mińska / stanisławowska,98
Aleja Bielany,99
Leśnica - pętla tramwajowa,100
Waniliowa / Cynamonowa,101
Centrum Handlowe Auchan Bielany,102
.GOTOWE DO REZERWACJI,103
# Rowery skradzione Wrocław 2014,104
Strzegomska / Rogowska ,105
Kamieńskiego / Jutrosińska,106
al. Karkonoska / Jeździecka,107
