name,value
Zachodnia / Poznańska,0
Plac Legionów,1
Wita Stwosza / Szewska,2
Wróblewskiego (Teki),3
Dyrekcyjna / Borowska (Wroclavia),4
Aleja Hallera / Mielecka,5
Plac Powstańców Warszawy (Muzeum Narodowe),6
Mińska / stanisławowska,7
Fosa Miejska ,8
Szczęśliwa (Sky Tower),9
Aleja Kromera,10
Zaporoska / Gajowicka,11
Grabiszyńska / Aleja Hallera,12
Kościuszki / Komuny Paryskiej / Zgodna,13
Rondo Reagana,14
Dworzec Główny ,15
Plac Grunwaldzki / Polaka,16
Traugutta / Pułaskiego,17
Powstańcow Śląskich / Aleja Hallera,18
Sienkiewicza / Wyszyńskiego,19
Łukasiewicza / Smoluchowskiego (PWr),20
Traugutta / Kościuszki,21
Plac Jana Pawła II (Akademia Muzyczna),22
Żeromskiego / Kluczborska,23
Drobnera / Dubois,24
Strzegomska / Estońska,25
"Grochowa / Jemiołowa,",26
Świdnicka / Piłsudskiego (Hotel Scandic),27
Kazimierza Wielkiego (Helios),28
Rynek,29
Kościuszki / Pułaskiego,30
Nowowiejska / Jedności Narodowej,31
Borowska (Uniw. Szpital Kliniczny),32
"Dworzec Główny, południe",33
Ślężna / Kamienna (Uniw. Ekonomiczny),34
Drobnera / Plac Bema,35
Plac Strzegomski / Poznańska,36
Legnicka / Wejherowska,37
Świeradowska (Ferio Gaj ),38
Sienkiewicza / Piastowska,39
Legnicka / Młodych Techników,40
Komandorska / Sanocka,41
Stacyjna (Dworzec Mikołajów),42
Żmigrodzka / Broniewskiego,43
Plac Świętego Macieja / Trzebnicka,44
Plac Uniwersytecki (UWr),45
Grabiszyńska / Stalowa,46
Pilczycka (Stadion Miejski),47
Nowowiejska / Wyszyńskiego,48
Wałbrzyska - pętla tramwajowa,49
Bardzka / Piękna,50
Lotnicza / Na Ostatnim Groszu,51
Plac Grunwaldzki (DS Ołówek),52
Zaporoska / Grabiszyńska,53
Trymanda / Mińska,54
Mościckiego (stacja kolejowa),55
Kurkowa / Dubois,56
Krucza / Mielecka / Stalowa,57
Plac Dominikański (Galeria Dominikańska),58
Zwycięska / Ołtaszyńska,59
Kamienna / Borowska (Aquapark),60
Pereca / Grabiszyńska,61
Poniatowskiego / Oleśnicka,62
Legnicka / Zachodnia ,63
Buforowa - Vivaldiego,64
Powstańców Śląskich (Arkady Wrocławskie),65
Plac Kościuszki (Renoma),66
Traktatowa (przystanek kolejowy),67
Norwida / Wyspiańskiego (PWr),68
Promenady Wrocławskie,69
Wyszyńskiego / Szczytnicka,70
Legnicka (Park Magnolia),71
Robotnicza / Fabryczna,72
Janiszewskiego (PWr),73
Szewska / Kazimierza Wielkiego ,74
Krzycka / Aleja Karkonoska (Park Południowy),75
Pilczycka / Kozanowska,76
Jagiełły / Dmowskiego ,77
Nowowiejska / Górnickiego,78
Żeromskiego / Daszyńskiego,79
Śrubowa / Strzegomska,80
Wróblewskiego (ZOO),81
Żelazna / Pereca,82
Plac Powstańców Śląskich,83
Tyrmanda / Trawowa,84
Na Grobli (PWr - Geocentrum),85
Grabiszyńska / Magazynierska (Corte Verona),86
Żernicka,87
Na Ostatnim Groszu,88
Ślężna / Aleja Wiśniowa,89
Fabryczna / Wagonowa,90
Oporów (pętla tramwajowa),91
Joliot-Curie (Uwr),92
Marca Polo (Olimpia Port),93
Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),94
Krzywoustego - Rynek Psie Pole,95
Osobowicka - pętla tramwajowa,96
Fabryczna  (WSB),97
Centrum Handlowe Auchan Bielany,98
Zatorska / Królewska - pętla MPK,99
Leśnica - pętla tramwajowa,100
Waniliowa / Cynamonowa,101
.GOTOWE DO REZERWACJI,102
Aleja Bielany,103
