Source,Target,Weight,Type,lng_org,lat_org,lng_dest,lat_dest
0,1.0,1,Directed,51.048332,16.960160000000002,51.089356,17.001061
0,13.0,61,Directed,51.048332,16.960160000000002,51.053396,16.971785
0,14.0,90,Directed,51.048332,16.960160000000002,51.047068,16.95721
0,15.0,1,Directed,51.048332,16.960160000000002,51.116737,17.033555
0,20.0,1,Directed,51.048332,16.960160000000002,51.094988,17.032866000000002
0,23.0,1,Directed,51.048332,16.960160000000002,51.108142,17.042089
0,25.0,1,Directed,51.048332,16.960160000000002,51.141631,17.123732
0,26.0,1,Directed,51.048332,16.960160000000002,51.094516,16.980204
0,32.0,1,Directed,51.048332,16.960160000000002,51.091669,16.986062
0,46.0,2,Directed,51.048332,16.960160000000002,51.10944600000001,17.026367
0,62.0,5,Directed,51.048332,16.960160000000002,51.075531,17.010487
0,83.0,2,Directed,51.048332,16.960160000000002,51.116392,17.012762
0,104.0,1,Directed,51.048332,16.960160000000002,51.101199,17.008541
0,130.0,18,Directed,51.048332,16.960160000000002,51.06704600000001,16.99616
0,131.0,9,Directed,51.048332,16.960160000000002,51.068191,17.004075
0,142.0,4,Directed,51.048332,16.960160000000002,51.073293,16.994730999999998
0,143.0,5,Directed,51.048332,16.960160000000002,51.077248,16.963286
0,150.0,2,Directed,51.048332,16.960160000000002,51.057008,17.022492
0,158.0,1,Directed,51.048332,16.960160000000002,51.104557,17.048582
0,159.0,1,Directed,51.048332,16.960160000000002,51.103313,16.945871
0,162.0,58,Directed,51.048332,16.960160000000002,51.064218,16.978548
0,172.0,1,Directed,51.048332,16.960160000000002,51.097288,17.014321
0,174.0,4,Directed,51.048332,16.960160000000002,51.09659600000001,17.014872
0,176.0,2,Directed,51.048332,16.960160000000002,51.05844,17.014397
0,177.0,4,Directed,51.048332,16.960160000000002,51.060148,17.004175
0,179.0,2,Directed,51.048332,16.960160000000002,51.083106,17.035009
0,183.0,5,Directed,51.048332,16.960160000000002,51.061445,16.996538
0,192.0,7,Directed,51.048332,16.960160000000002,51.076778,17.018105
0,196.0,2,Directed,51.048332,16.960160000000002,51.101353,17.027948000000002
1,0.0,1,Directed,51.089356,17.001061,51.048332,16.960160000000002
