Source,Target,Weight,Type
0,2.0,5,Directed
0,3.0,7,Directed
0,4.0,49,Directed
0,5.0,11,Directed
0,6.0,2,Directed
0,7.0,95,Directed
0,8.0,3,Directed
0,9.0,43,Directed
0,10.0,51,Directed
0,11.0,33,Directed
0,12.0,64,Directed
0,13.0,20,Directed
0,14.0,27,Directed
0,15.0,24,Directed
0,16.0,45,Directed
0,17.0,12,Directed
0,18.0,52,Directed
0,19.0,6,Directed
0,20.0,64,Directed
0,21.0,107,Directed
0,23.0,44,Directed
0,24.0,11,Directed
0,25.0,18,Directed
0,26.0,14,Directed
0,27.0,43,Directed
0,28.0,33,Directed
0,29.0,35,Directed
0,30.0,4,Directed
0,31.0,61,Directed
0,32.0,51,Directed
0,33.0,31,Directed
0,35.0,34,Directed
0,36.0,128,Directed
0,37.0,23,Directed
0,38.0,47,Directed
0,39.0,21,Directed
0,40.0,10,Directed
0,41.0,4,Directed
0,42.0,15,Directed
0,43.0,29,Directed
0,44.0,2,Directed
0,45.0,25,Directed
0,46.0,10,Directed
0,47.0,5,Directed
0,48.0,32,Directed
0,50.0,9,Directed
0,51.0,35,Directed
0,52.0,2,Directed
0,53.0,7,Directed
0,54.0,9,Directed
0,55.0,1,Directed
0,56.0,13,Directed
0,57.0,13,Directed
0,58.0,24,Directed
0,60.0,5,Directed
0,61.0,8,Directed
0,62.0,28,Directed
0,64.0,27,Directed
0,65.0,10,Directed
0,66.0,18,Directed
0,67.0,77,Directed
0,68.0,26,Directed
0,69.0,3,Directed
0,70.0,4,Directed
0,71.0,22,Directed
0,72.0,18,Directed
0,73.0,1,Directed
0,74.0,10,Directed
0,75.0,42,Directed
0,76.0,5,Directed
0,77.0,17,Directed
0,78.0,23,Directed
0,79.0,43,Directed
0,80.0,24,Directed
0,81.0,62,Directed
0,82.0,7,Directed
0,83.0,1,Directed
0,84.0,9,Directed
0,85.0,1,Directed
0,86.0,32,Directed
0,87.0,17,Directed
0,88.0,31,Directed
0,89.0,35,Directed
0,90.0,19,Directed
0,92.0,37,Directed
0,94.0,6,Directed
0,95.0,4,Directed
0,96.0,5,Directed
0,97.0,40,Directed
0,99.0,7,Directed
0,100.0,3,Directed
0,101.0,2,Directed
0,103.0,3,Directed
0,104.0,2,Directed
0,105.0,13,Directed
0,107.0,64,Directed
0,108.0,2,Directed
0,110.0,1,Directed
0,111.0,7,Directed
0,112.0,14,Directed
0,113.0,7,Directed
0,114.0,4,Directed
0,115.0,4,Directed
0,117.0,28,Directed
0,118.0,1,Directed
0,119.0,23,Directed
0,120.0,7,Directed
0,121.0,1,Directed
0,123.0,13,Directed
0,125.0,1,Directed
0,126.0,7,Directed
0,128.0,9,Directed
0,129.0,12,Directed
0,130.0,18,Directed
0,131.0,1,Directed
0,134.0,5,Directed
0,135.0,3,Directed
0,137.0,1,Directed
0,138.0,3,Directed
0,140.0,3,Directed
0,141.0,2,Directed
0,143.0,2,Directed
0,145.0,2,Directed
0,147.0,3,Directed
0,148.0,2,Directed
0,149.0,1,Directed
0,150.0,2,Directed
0,151.0,3,Directed
0,152.0,8,Directed
0,153.0,1,Directed
0,154.0,4,Directed
