name,value
Kurkowa / Dubois,117
"Kosmonautów / Fieldorfa, szpital wojewódzki",118
"Grochowa / Jemiołowa,",119
al. Armii Krajowej / Bardzka,120
Hermanowska / Kołobrzeska,121
Kiełczowska,122
Dyrekcyjna / Borowska (Wroclavia),123
Na Ostatnim Groszu,124
Mińska / stanisławowska,125
Borowska (Uniw. Szpital Kliniczny),126
Tyrmanda / Trawowa,127
Komandorska / Kamienna,128
Reymonta / Kleczkowska,129
Na Grobli (PWr - Geocentrum),130
Olszewskiego / Spółdzielcza,131
Graniczna / Strzegomska,132
Poleska / Litewska,133
Krzywoustego - Rynek Psie Pole,134
Racławicka / Rymarska,135
Kosmonautów / Glinianki / WUWA2,136
Wojanowska / Arbuzowa ,137
Ślężna / Skierniewicka,138
Wałbrzyska - pętla tramwajowa,139
Koszarowa / UWr,140
Zwycięska / Ołtaszyńska,141
Oporów (pętla tramwajowa),142
Czekoladowa / Wałbrzyska,143
Centrum Handlowe Auchan Bielany,144
Bardzka / Piękna,145
Bacciarellego,146
Świeradowska (Ferio Gaj ),147
al. Karkonoska / Jeździecka,148
Prochowicka / Dolnobrzeska,149
Przyjaźni,150
al. Kochanowskiego / Śniadeckich ,151
Ślężna / Kamienna (Uniw. Ekonomiczny),152
Rogowska / Zemska,153
Jagodzińska / Buforowa,154
Leśnica - pętla tramwajowa,155
Opolska / pętla tramwajowa,156
Trymanda / Mińska,157
Krzywoustego / Korona,158
Opolska / Siemianowicka,159
Karwińska / Opolska,160
Buforowa - Vivaldiego,161
Hubska / Prudnicka,162
al. Armii Krajowej / Tarnogajska,163
Bacciarellego / pętla autobusowa,164
Osobowicka / Ostrowska,165
Bałtycka / Żmigrodzka,166
Konduktorska,167
al. Poprzeczna / stacja kolejowa,168
Bystrzycka / Idzikowskiego,169
Przyjaźni / Karkonoska,170
Stabłowicka ,171
Krakowska / Leroy Merlin,172
"Olszewskiego, pętla tramwajowa",173
Solskiego / al. Piastów,174
Semaforowa,175
Robotnicza / Fabryczna,176
Partyzantów / Okrzei,177
Żmigrodzka / Marino,178
Kołłątaja / Podwale,179
Plac Kościuszki (Renoma),180
Okulickiego,181
Stacyjna (Dworzec Mikołajów),182
Mościckiego (stacja kolejowa),183
Wilanowska,184
Osobowicka - pętla tramwajowa,185
Maślicka / Stodolna,186
Średzka / Dolnobrzeska ,187
Kamieńskiego / Jutrosińska,188
Strachocińska / Wieśniacza,189
"Wrocław Stadion, stacja kolejowa",190
Fabryczna / Wagonowa,191
Waniliowa / Cynamonowa,192
Traktatowa (przystanek kolejowy),193
Stabłowicka / Główna ,194
Aleja Bielany,195
Miłoszycka / Swojczycka ,196
al. Jana III Sobieskiego / stacja kolejowa,197
Fabryczna  (WSB),198
Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),199
Księgarska / Dekarska / Zduńska,200
Jerzmanowska,201
.RELOKACYJNA A1-4,202
#Rowery zapasowe Warszawa,203
.GOTOWE DO REZERWACJI,204
