name,value
Rynek,0
Boguszowska / Kosmonautów,1
Krzycka / Aleja Karkonoska (Park Południowy),2
Jedności Narodowej / Wyszyńskiego,3
Powstańcow Śląskich / Aleja Hallera,4
Plac Grunwaldzki (DS Ołówek),5
Joliot-Curie (Uwr),6
Zaporoska / Grabiszyńska,7
Kozanowska / Pilczycka,8
Wita Stwosza / Szewska,9
Powstańców Śląskich (Arkady Wrocławskie),10
Sienkiewicza / Wyszyńskiego,11
Plac Uniwersytecki (UWr),12
Wróblewskiego (ZOO),13
Nowowiejska / Górnickiego,14
Śrubowa / Strzegomska,15
Plac Dominikański (Galeria Dominikańska),16
Nyska / Jesionowa,17
Jagiełły / Dmowskiego ,18
Kasprowicza / Syrokomli,19
Drobnera / Plac Bema,20
Szczęśliwa (Sky Tower),21
Tarnogajska / Klimasa,22
"Dworzec Główny, południe",23
Żeromskiego / Daszyńskiego,24
Nowowiejska / Wyszyńskiego,25
Szewska / Kazimierza Wielkiego ,26
Traugutta / Pułaskiego,27
Świdnicka / Piłsudskiego (Hotel Scandic),28
Legnicka / Zachodnia ,29
Popowicka ,30
Legnicka / Młodych Techników,31
Kazimierza Wielkiego (Helios),32
Plac Strzegomski / Poznańska,33
"Wrocław Leśnica, stacja kolejowa",34
Plac Jana Pawła II (Akademia Muzyczna),35
Dworzec Główny ,36
Kościuszki / Komuny Paryskiej / Zgodna,37
Poniatowskiego / Oleśnicka,38
Plac Świętego Macieja / Trzebnicka,39
Kamienna / Tomaszowska,40
Popowicka / Niedźwiedzia ,41
Norwida / Wyspiańskiego (PWr),42
pl. Orląt Lwowskich,43
Skarbowców / Wietrzna,44
Rondo Reagana,45
Krucza / Mielecka / Stalowa,46
Żeromskiego / Kluczborska,47
Plac Grunwaldzki / Polaka,48
Żernicka,49
Żelazna / Pereca,50
Grabiszyńska / Stalowa,51
Zwycięska / Agrestowa,52
Nyska / Piękna,53
Aleja Kromera,54
Hallera / Odkrywców,55
Żmigrodzka / Broniewskiego,56
Bezpieczna / Obornicka,57
al. Armii Krajowej / Borowska,58
Mrągowska / Rolna,59
Obornicka / Bałtycka,60
Aleja Hallera / Mielecka,61
Zaporoska / Gajowicka,62
Pilczycka (Stadion Miejski),63
Plac Powstańców Warszawy (Muzeum Narodowe),64
Ślężna / Aleja Wiśniowa,65
Komandorska / Sanocka,66
Piaskowa / św. Ducha,67
Zachodnia / Poznańska,68
Łukasiewicza / Smoluchowskiego (PWr),69
Pilczycka / Kozanowska,70
Legnicka (Park Magnolia),71
Zaporoska / Wielka / Krucza,72
Grota-Roweckiego / Parafialna,73
Grabiszyńska / Magazynierska (Corte Verona),74
Plac Powstańców Śląskich,75
al. Kochanowskiego / Kopernika,76
Lotnicza / Na Ostatnim Groszu,77
pl. Powstańców Wielkopolskich,78
Plac Legionów,79
Nowowiejska / Jedności Narodowej,80
Drobnera / Dubois,81
Wróblewskiego (Teki),82
Janiszewskiego (PWr),83
Traugutta / Kościuszki,84
Sołtysowicka / Redycka,85
Pereca / Grabiszyńska,86
Młodych Techników,87
Legnicka / Wejherowska,88
Kościuszki / Pułaskiego,89
Gliniana / Gajowa,90
Klecińska / Duńska,91
Plac Staszica,92
Strachowskiego / Parafialna,93
Sienkiewicza / Piastowska,94
Strzegomska / Estońska,95
Drzewieckiego / Dedala,96
Wyszyńskiego / Szczytnicka,97
al. Brücknera / Kwidzyńska,98
Lotnicza / Bajana,99
Mościckiego / Chińska ,100
Pilczycka / Koszykarska,101
"Paprotna / Obornicka, zajezdnia MPK",102
Marca Polo (Olimpia Port),103
Ślężna / pętla tramwajowa,104
Promenady Wrocławskie,105
Strzegomska / Rogowska ,106
Fosa Miejska ,107
Lotnicza / Metalowców,108
Zatorska / Królewska - pętla MPK,109
Berenta / Kasprowicza,110
Mickiewicza / pętla tramwajowa,111
Kamienna / Borowska (Aquapark),112
Kraszewskiego / Trzebnicka,113
Grabiszyńska / Aleja Hallera,114
Świeradowska / Krynicka,115
Gorlicka / Litewska,116
