name,value
Żelazna / Pereca,0
Plac Legionów,1
Graniczna / Strzegomska,2
Żmigrodzka / Broniewskiego,3
Kościuszki / Komuny Paryskiej / Zgodna,4
Fosa Miejska ,5
Plac Uniwersytecki (UWr),6
Plac Staszica,7
Kościuszki / Pułaskiego,8
Plac Dominikański (Galeria Dominikańska),9
Zaporoska / Wielka / Krucza,10
Obornicka / Bałtycka,11
Jagiełły / Dmowskiego ,12
pl. Powstańców Wielkopolskich,13
Kazimierza Wielkiego (Helios),14
Marca Polo (Olimpia Port),15
Powstańców Śląskich (Arkady Wrocławskie),16
Leśnica - pętla tramwajowa,17
Partyzantów / Okrzei,18
Szczęśliwa (Sky Tower),19
Kamienna / Borowska (Aquapark),20
Plac Powstańców Śląskich,21
Dyrekcyjna / Borowska (Wroclavia),22
Plac Kościuszki (Renoma),23
Komandorska / Kamienna,24
Nowowiejska / Wyszyńskiego,25
Szewska / Kazimierza Wielkiego ,26
"Paprotna / Obornicka, zajezdnia MPK",27
Nyska / Piękna,28
Powstańcow Śląskich / Aleja Hallera,29
"Dworzec Główny, południe",30
Krucza / Mielecka / Stalowa,31
Hubska / Prudnicka,32
Sołtysowicka / Redycka,33
Dworzec Główny ,34
Plac Jana Pawła II (Akademia Muzyczna),35
Wita Stwosza / Szewska,36
Bardzka / Piękna,37
Racławicka / Rymarska,38
Mickiewicza / pętla tramwajowa,39
Zaporoska / Grabiszyńska,40
Legnicka / Młodych Techników,41
Konduktorska,42
Aleja Hallera / Mielecka,43
Ślężna / pętla tramwajowa,44
Aleja Kromera,45
Na Grobli (PWr - Geocentrum),46
Nyska / Jesionowa,47
Jedności Narodowej / Wyszyńskiego,48
Drobnera / Dubois,49
Strzegomska / Estońska,50
Krzywoustego - Rynek Psie Pole,51
al. Armii Krajowej / Borowska,52
Poniatowskiego / Oleśnicka,53
al. Armii Krajowej / Bardzka,54
Traugutta / Pułaskiego,55
Promenady Wrocławskie,56
Rondo Reagana,57
Krzywoustego / Korona,58
Wałbrzyska - pętla tramwajowa,59
Bezpieczna / Obornicka,60
Lotnicza / Metalowców,61
Reymonta / Kleczkowska,62
Gliniana / Gajowa,63
Plac Świętego Macieja / Trzebnicka,64
Rynek,65
Zachodnia / Poznańska,66
Pilczycka (Stadion Miejski),67
Krzycka / Aleja Karkonoska (Park Południowy),68
Plac Grunwaldzki / Polaka,69
Sienkiewicza / Wyszyńskiego,70
Sienkiewicza / Piastowska,71
Rogowska / Zemska,72
Traugutta / Kościuszki,73
Zaporoska / Gajowicka,74
Legnicka / Wejherowska,75
Legnicka / Zachodnia ,76
"Olszewskiego, pętla tramwajowa",77
Wyszyńskiego / Szczytnicka,78
Nowowiejska / Górnickiego,79
Kasprowicza / Syrokomli,80
Drobnera / Plac Bema,81
Stacyjna (Dworzec Mikołajów),82
Kamienna / Tomaszowska,83
Trymanda / Mińska,84
Skarbowców / Wietrzna,85
Opolska / Siemianowicka,86
Żeromskiego / Daszyńskiego,87
Stadion Olimpijski,88
Młodych Techników,89
Czekoladowa / Wałbrzyska,90
Pereca / Grabiszyńska,91
Przyjaźni,92
Plac Grunwaldzki (DS Ołówek),93
Solskiego / al. Piastów,94
Kurkowa / Dubois,95
Borowska (Uniw. Szpital Kliniczny),96
Ślężna / Kamienna (Uniw. Ekonomiczny),97
Plac Strzegomski / Poznańska,98
Ślężna / Aleja Wiśniowa,99
Świdnicka / Piłsudskiego (Hotel Scandic),100
Olszewskiego / Spółdzielcza,101
Grabiszyńska / Stalowa,102
Na Ostatnim Groszu,103
Tyrmanda / Trawowa,104
Grota-Roweckiego / Parafialna,105
Zwycięska / Agrestowa,106
Śrubowa / Strzegomska,107
Piaskowa / św. Ducha,108
Wróblewskiego (Teki),109
Osobowicka - pętla tramwajowa,110
Komandorska / Sanocka,111
Świeradowska (Ferio Gaj ),112
"Grochowa / Jemiołowa,",113
Kraszewskiego / Trzebnicka,114
Strachowskiego / Parafialna,115
Popowicka ,116
Lotnicza / Na Ostatnim Groszu,117
Karwińska / Opolska,118
Tarnogajska / Klimasa,119
al. Kochanowskiego / Śniadeckich ,120
Mrągowska / Rolna,121
Gorlicka / Litewska,122
pl. Orląt Lwowskich,123
Janiszewskiego (PWr),124
Kiełczowska,125
Pilczycka / Koszykarska,126
Kozanowska / Pilczycka,127
Zwycięska / Ołtaszyńska,128
Buforowa - Vivaldiego,129
Plac Powstańców Warszawy (Muzeum Narodowe),130
Świeradowska / Krynicka,131
al. Brücknera / Kwidzyńska,132
Grabiszyńska / Aleja Hallera,133
Krakowska / Leroy Merlin,134
Bystrzycka / Idzikowskiego,135
al. Karkonoska / Jeździecka,136
Osobowicka / Ostrowska,137
Miłoszycka / Swojczycka ,138
Nowowiejska / Jedności Narodowej,139
Lotnicza / Bajana,140
Klecińska / Duńska,141
Berenta / Kasprowicza,142
Drzewieckiego / Dedala,143
al. Kochanowskiego / Kopernika,144
Poleska / Litewska,145
Robotnicza / Fabryczna,146
Boguszowska / Kosmonautów,147
Norwida / Wyspiańskiego (PWr),148
Kamieńskiego / Jutrosińska,149
Fabryczna / Wagonowa,150
Grabiszyńska / Magazynierska (Corte Verona),151
Traktatowa (przystanek kolejowy),152
Opolska / pętla tramwajowa,153
Aleja Bielany,154
Ślężna / Skierniewicka,155
Legnicka (Park Magnolia),156
Maślicka / Stodolna,157
Strachocińska / Wieśniacza,158
Jagodzińska / Buforowa,159
Żmigrodzka / Marino,160
Kołłątaja / Podwale,161
Koszarowa / UWr,162
Przyjaźni / Karkonoska,163
Wojanowska / Arbuzowa ,164
Kosmonautów / Glinianki / WUWA2,165
Żeromskiego / Kluczborska,166
Stabłowicka / Główna ,167
Łukasiewicza / Smoluchowskiego (PWr),168
Stabłowicka ,169
"Kosmonautów / Fieldorfa, szpital wojewódzki",170
Wróblewskiego (ZOO),171
Strzegomska / Rogowska ,172
Mińska / stanisławowska,173
Bałtycka / Żmigrodzka,174
al. Armii Krajowej / Tarnogajska,175
Bacciarellego / pętla autobusowa,176
Hermanowska / Kołobrzeska,177
Prochowicka / Dolnobrzeska,178
Pilczycka / Kozanowska,179
Popowicka / Niedźwiedzia ,180
Mościckiego (stacja kolejowa),181
Okulickiego,182
Hallera / Odkrywców,183
Semaforowa,184
Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),185
Bacciarellego,186
Zatorska / Królewska - pętla MPK,187
Joliot-Curie (Uwr),188
al. Poprzeczna / stacja kolejowa,189
al. Jana III Sobieskiego / stacja kolejowa,190
Wilanowska,191
Fabryczna  (WSB),192
Średzka / Dolnobrzeska ,193
"Wrocław Stadion, stacja kolejowa",194
"Wrocław Leśnica, stacja kolejowa",195
Centrum Handlowe Auchan Bielany,196
Oporów (pętla tramwajowa),197
Żernicka,198
Mościckiego / Chińska ,199
Księgarska / Dekarska / Zduńska,200
Waniliowa / Cynamonowa,201
Popowice,202
.RELOKACYJNA A1-4,203
