name,value
Poniatowskiego / Oleśnicka,0
Aleja Kromera,1
Żeromskiego / Daszyńskiego,2
Powstańców Śląskich (Arkady Wrocławskie),3
Rynek,4
Kazimierza Wielkiego (Helios),5
Zaporoska / Grabiszyńska,6
Kamienna / Borowska (Aquapark),7
Ślężna / Kamienna (Uniw. Ekonomiczny),8
Oporów (pętla tramwajowa),9
pl. Powstańców Wielkopolskich,10
Powstańcow Śląskich / Aleja Hallera,11
Promenady Wrocławskie,12
Kraszewskiego / Trzebnicka,13
Szewska / Kazimierza Wielkiego ,14
Lotnicza / Na Ostatnim Groszu,15
Drobnera / Plac Bema,16
Ślężna / Aleja Wiśniowa,17
Jagiełły / Dmowskiego ,18
Szczęśliwa (Sky Tower),19
Plac Dominikański (Galeria Dominikańska),20
Traugutta / Pułaskiego,21
Świeradowska (Ferio Gaj ),22
Jedności Narodowej / Wyszyńskiego,23
Dworzec Główny ,24
Piaskowa / św. Ducha,25
Fosa Miejska ,26
Żmigrodzka / Marino,27
Bacciarellego / pętla autobusowa,28
Krzywoustego / Korona,29
Krzycka / Aleja Karkonoska (Park Południowy),30
Zwycięska / Agrestowa,31
Sienkiewicza / Wyszyńskiego,32
Kościuszki / Pułaskiego,33
Okulickiego,34
Dyrekcyjna / Borowska (Wroclavia),35
Legnicka / Młodych Techników,36
Legnicka (Park Magnolia),37
Gliniana / Gajowa,38
Krzywoustego - Rynek Psie Pole,39
Wyszyńskiego / Szczytnicka,40
Plac Powstańców Śląskich,41
Joliot-Curie (Uwr),42
Żernicka,43
Kozanowska / Pilczycka,44
Rondo Reagana,45
Legnicka / Zachodnia ,46
"Dworzec Główny, południe",47
Ślężna / Skierniewicka,48
Plac Staszica,49
Wałbrzyska - pętla tramwajowa,50
Plac Jana Pawła II (Akademia Muzyczna),51
Traugutta / Kościuszki,52
Plac Uniwersytecki (UWr),53
Plac Strzegomski / Poznańska,54
Hubska / Prudnicka,55
Grabiszyńska / Aleja Hallera,56
Kościuszki / Komuny Paryskiej / Zgodna,57
Młodych Techników,58
Bystrzycka / Idzikowskiego,59
Gorlicka / Litewska,60
Plac Legionów,61
Drobnera / Dubois,62
Żmigrodzka / Broniewskiego,63
Nowowiejska / Wyszyńskiego,64
Aleja Hallera / Mielecka,65
Legnicka / Wejherowska,66
Średzka / Dolnobrzeska ,67
Janiszewskiego (PWr),68
Mickiewicza / pętla tramwajowa,69
Plac Świętego Macieja / Trzebnicka,70
Komandorska / Sanocka,71
"Paprotna / Obornicka, zajezdnia MPK",72
al. Armii Krajowej / Bardzka,73
Zachodnia / Poznańska,74
Grabiszyńska / Stalowa,75
Pereca / Grabiszyńska,76
Stacyjna (Dworzec Mikołajów),77
Strzegomska / Rogowska ,78
Wita Stwosza / Szewska,79
al. Kochanowskiego / Śniadeckich ,80
Kamienna / Tomaszowska,81
Olszewskiego / Spółdzielcza,82
al. Armii Krajowej / Borowska,83
Kołłątaja / Podwale,84
Tarnogajska / Klimasa,85
Nowowiejska / Górnickiego,86
Fabryczna / Wagonowa,87
Śrubowa / Strzegomska,88
Krucza / Mielecka / Stalowa,89
Klecińska / Duńska,90
Plac Grunwaldzki / Polaka,91
Łukasiewicza / Smoluchowskiego (PWr),92
Świeradowska / Krynicka,93
Krakowska / Leroy Merlin,94
Zaporoska / Gajowicka,95
Kurkowa / Dubois,96
Trymanda / Mińska,97
Grota-Roweckiego / Parafialna,98
Bezpieczna / Obornicka,99
Plac Kościuszki (Renoma),100
Sienkiewicza / Piastowska,101
Świdnicka / Piłsudskiego (Hotel Scandic),102
Reymonta / Kleczkowska,103
Opolska / pętla tramwajowa,104
Wilanowska,105
Plac Grunwaldzki (DS Ołówek),106
Zwycięska / Ołtaszyńska,107
pl. Orląt Lwowskich,108
Zatorska / Królewska - pętla MPK,109
Borowska (Uniw. Szpital Kliniczny),110
Na Ostatnim Groszu,111
Komandorska / Kamienna,112
Hermanowska / Kołobrzeska,113
Kamieńskiego / Jutrosińska,114
Plac Powstańców Warszawy (Muzeum Narodowe),115
Jagodzińska / Buforowa,116
Przyjaźni / Karkonoska,117
Solskiego / al. Piastów,118
Skarbowców / Wietrzna,119
Prochowicka / Dolnobrzeska,120
Osobowicka / Ostrowska,121
Marca Polo (Olimpia Port),122
Wojanowska / Arbuzowa ,123
al. Karkonoska / Jeździecka,124
Popowicka / Niedźwiedzia ,125
Czekoladowa / Wałbrzyska,126
Karwińska / Opolska,127
Żelazna / Pereca,128
Strzegomska / Estońska,129
Racławicka / Rymarska,130
Mińska / stanisławowska,131
al. Brücknera / Kwidzyńska,132
"Grochowa / Jemiołowa,",133
Konduktorska,134
Mościckiego / Chińska ,135
Nyska / Jesionowa,136
Rogowska / Zemska,137
al. Poprzeczna / stacja kolejowa,138
Traktatowa (przystanek kolejowy),139
Popowicka ,140
Na Grobli (PWr - Geocentrum),141
Nyska / Piękna,142
Kiełczowska,143
Bałtycka / Żmigrodzka,144
Drzewieckiego / Dedala,145
Opolska / Siemianowicka,146
Lotnicza / Bajana,147
Poleska / Litewska,148
Mrągowska / Rolna,149
Pilczycka (Stadion Miejski),150
Zaporoska / Wielka / Krucza,151
Żeromskiego / Kluczborska,152
al. Armii Krajowej / Tarnogajska,153
Maślicka / Stodolna,154
Buforowa - Vivaldiego,155
Tyrmanda / Trawowa,156
al. Kochanowskiego / Kopernika,157
Grabiszyńska / Magazynierska (Corte Verona),158
Graniczna / Strzegomska,159
Hallera / Odkrywców,160
Koszarowa / UWr,161
Aleja Bielany,162
Strachowskiego / Parafialna,163
Wróblewskiego (Teki),164
Boguszowska / Kosmonautów,165
Obornicka / Bałtycka,166
"Olszewskiego, pętla tramwajowa",167
Mościckiego (stacja kolejowa),168
Stabłowicka / Główna ,169
Bardzka / Piękna,170
Semaforowa,171
Jerzmanowska,172
Nowowiejska / Jedności Narodowej,173
Robotnicza / Fabryczna,174
Lotnicza / Metalowców,175
"Kosmonautów / Fieldorfa, szpital wojewódzki",176
Kosmonautów / Glinianki / WUWA2,177
Sołtysowicka / Redycka,178
Partyzantów / Okrzei,179
Osobowicka - pętla tramwajowa,180
Fabryczna  (WSB),181
Centrum Handlowe Auchan Bielany,182
Berenta / Kasprowicza,183
Bacciarellego,184
Pilczycka / Kozanowska,185
Wróblewskiego (ZOO),186
"Wrocław Leśnica, stacja kolejowa",187
Pilczycka / Koszykarska,188
Przyjaźni,189
Księgarska / Dekarska / Zduńska,190
al. Jana III Sobieskiego / stacja kolejowa,191
Waniliowa / Cynamonowa,192
Strachocińska / Wieśniacza,193
Ślężna / pętla tramwajowa,194
Norwida / Wyspiańskiego (PWr),195
Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),196
Kasprowicza / Syrokomli,197
Leśnica - pętla tramwajowa,198
Miłoszycka / Swojczycka ,199
Stabłowicka ,200
"Wrocław Stadion, stacja kolejowa",201
