name,value
Pilczycka (Stadion Miejski),92
Marca Polo (Olimpia Port),93
Mińska / stanisławowska,94
Centrum Handlowe Auchan Bielany,95
Fabryczna / Wagonowa,96
Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),97
Buforowa - Vivaldiego,98
al. Karkonoska / Jeździecka,99
Aleja Bielany,100
Leśnica - pętla tramwajowa,101
Mościckiego (stacja kolejowa),102
Żernicka,103
Osobowicka - pętla tramwajowa,104
Waniliowa / Cynamonowa,105
Wojanowska / Arbuzowa ,106
Racławicka / Rymarska,107
Przyjaźni,108
al. Kochanowskiego / Kopernika,109
Gorlicka / Litewska,110
Rogowska / Zemska,111
Hermanowska / Kołobrzeska,112
Graniczna / Strzegomska,113
Komandorska / Kamienna,114
Klecińska / Duńska,115
Popowicka / Niedźwiedzia ,116
pl. Powstańców Wielkopolskich,117
Przyjaźni / Karkonoska,118
Kraszewskiego / Trzebnicka,119
Popowicka ,120
Prochowicka / Dolnobrzeska,121
Kołłątaja / Podwale,122
Ślężna / Skierniewicka,123
al. Armii Krajowej / Borowska,124
Piaskowa / św. Ducha,125
Kamienna / Tomaszowska,126
Plac Staszica,127
Gliniana / Gajowa,128
Lotnicza / Bajana,129
Zwycięska / Agrestowa,130
Krakowska / Leroy Merlin,131
"Olszewskiego, pętla tramwajowa",132
Nyska / Jesionowa,133
Bystrzycka / Idzikowskiego,134
Kasprowicza / Syrokomli,135
Hubska / Prudnicka,136
Poleska / Litewska,137
Czekoladowa / Wałbrzyska,138
Jedności Narodowej / Wyszyńskiego,139
Żmigrodzka / Marino,140
Ślężna / pętla tramwajowa,141
Tarnogajska / Klimasa,142
Skarbowców / Wietrzna,143
Kozanowska / Pilczycka,144
Bezpieczna / Obornicka,145
Koszarowa / UWr,146
pl. Orląt Lwowskich,147
al. Armii Krajowej / Tarnogajska,148
Hallera / Odkrywców,149
Lotnicza / Metalowców,150
al. Armii Krajowej / Bardzka,151
Reymonta / Kleczkowska,152
Solskiego / al. Piastów,153
Drzewieckiego / Dedala,154
al. Kochanowskiego / Śniadeckich ,155
Jagodzińska / Buforowa,156
Zaporoska / Wielka / Krucza,157
Konduktorska,158
Opolska / pętla tramwajowa,159
Maślicka / Stodolna,160
Bacciarellego / pętla autobusowa,161
Świeradowska / Krynicka,162
"Wrocław Stadion, stacja kolejowa",163
Strachowskiego / Parafialna,164
Grota-Roweckiego / Parafialna,165
Boguszowska / Kosmonautów,166
Nyska / Piękna,167
Karwińska / Opolska,168
Średzka / Dolnobrzeska ,169
Obornicka / Bałtycka,170
al. Brücknera / Kwidzyńska,171
Stabłowicka / Główna ,172
Krzywoustego / Korona,173
Opolska / Siemianowicka,174
Mrągowska / Rolna,175
Kiełczowska,176
Berenta / Kasprowicza,177
Olszewskiego / Spółdzielcza,178
Bałtycka / Żmigrodzka,179
Bacciarellego,180
"Kosmonautów / Fieldorfa, szpital wojewódzki",181
Kosmonautów / Glinianki / WUWA2,182
Partyzantów / Okrzei,183
"Paprotna / Obornicka, zajezdnia MPK",184
Semaforowa,185
Mościckiego / Chińska ,186
Pilczycka / Koszykarska,187
Młodych Techników,188
Sołtysowicka / Redycka,189
Mickiewicza / pętla tramwajowa,190
Osobowicka / Ostrowska,191
al. Jana III Sobieskiego / stacja kolejowa,192
"Wrocław Leśnica, stacja kolejowa",193
Stabłowicka ,194
Okulickiego,195
Miłoszycka / Swojczycka ,196
Księgarska / Dekarska / Zduńska,197
Wilanowska,198
al. Poprzeczna / stacja kolejowa,199
Strachocińska / Wieśniacza,200
Jerzmanowska,201
.GOTOWE DO REZERWACJI,202
