name,value
Żmigrodzka / Broniewskiego,0
Plac Powstańców Śląskich,1
Szewska / Kazimierza Wielkiego ,2
Wita Stwosza / Szewska,3
Dworzec Główny ,4
Powstańcow Śląskich / Aleja Hallera,5
Poniatowskiego / Oleśnicka,6
Drobnera / Plac Bema,7
Zwycięska / Ołtaszyńska,8
Rondo Reagana,9
Nowowiejska / Jedności Narodowej,10
Kazimierza Wielkiego (Helios),11
Kościuszki / Pułaskiego,12
Legnicka / Zachodnia ,13
Oporów (pętla tramwajowa),14
Wyszyńskiego / Szczytnicka,15
Krzycka / Aleja Karkonoska (Park Południowy),16
Robotnicza / Fabryczna,17
Rynek,18
Dyrekcyjna / Borowska (Wroclavia),19
Kościuszki / Komuny Paryskiej / Zgodna,20
Pereca / Grabiszyńska,21
Legnicka (Park Magnolia),22
Norwida / Wyspiańskiego (PWr),23
Świdnicka / Piłsudskiego (Hotel Scandic),24
Zaporoska / Grabiszyńska,25
Nowowiejska / Wyszyńskiego,26
Plac Dominikański (Galeria Dominikańska),27
Sienkiewicza / Piastowska,28
Borowska (Uniw. Szpital Kliniczny),29
Traugutta / Kościuszki,30
Legnicka / Wejherowska,31
Plac Kościuszki (Renoma),32
Sienkiewicza / Wyszyńskiego,33
Plac Grunwaldzki (DS Ołówek),34
Aleja Kromera,35
Plac Świętego Macieja / Trzebnicka,36
Strzegomska / Estońska,37
Wróblewskiego (Teki),38
Szczęśliwa (Sky Tower),39
Grabiszyńska / Stalowa,40
Drobnera / Dubois,41
Plac Jana Pawła II (Akademia Muzyczna),42
Grabiszyńska / Aleja Hallera,43
Legnicka / Młodych Techników,44
Traugutta / Pułaskiego,45
Powstańców Śląskich (Arkady Wrocławskie),46
Aleja Hallera / Mielecka,47
Lotnicza / Na Ostatnim Groszu,48
Plac Uniwersytecki (UWr),49
Plac Legionów,50
Śrubowa / Strzegomska,51
"Dworzec Główny, południe",52
Grabiszyńska / Magazynierska (Corte Verona),53
Ślężna / Kamienna (Uniw. Ekonomiczny),54
Strzegomska / Rogowska ,55
Wróblewskiego (ZOO),56
Bardzka / Piękna,57
Żeromskiego / Kluczborska,58
Kamienna / Borowska (Aquapark),59
Zaporoska / Gajowicka,60
Promenady Wrocławskie,61
Pilczycka / Kozanowska,62
Nowowiejska / Górnickiego,63
Kurkowa / Dubois,64
Krzywoustego - Rynek Psie Pole,65
Fosa Miejska ,66
Plac Grunwaldzki / Polaka,67
Plac Strzegomski / Poznańska,68
Ślężna / Aleja Wiśniowa,69
Komandorska / Sanocka,70
Plac Powstańców Warszawy (Muzeum Narodowe),71
Na Grobli (PWr - Geocentrum),72
Joliot-Curie (Uwr),73
Łukasiewicza / Smoluchowskiego (PWr),74
Janiszewskiego (PWr),75
Świeradowska (Ferio Gaj ),76
Krucza / Mielecka / Stalowa,77
Zatorska / Królewska - pętla MPK,78
"Grochowa / Jemiołowa,",79
Zachodnia / Poznańska,80
Traktatowa (przystanek kolejowy),81
Tyrmanda / Trawowa,82
Kamieńskiego / Jutrosińska,83
Wałbrzyska - pętla tramwajowa,84
Fabryczna  (WSB),85
Jagiełły / Dmowskiego ,86
Trymanda / Mińska,87
Żelazna / Pereca,88
Stacyjna (Dworzec Mikołajów),89
Żeromskiego / Daszyńskiego,90
Na Ostatnim Groszu,91
