Source,Target,Weight,Type,lng_org,lat_org,lng_dest,lat_dest
0,13,30,Directed,51.048332,16.960160000000002,51.053396,16.971785
0,14,45,Directed,51.048332,16.960160000000002,51.047068,16.95721
0,26,1,Directed,51.048332,16.960160000000002,51.094516,16.980204
0,62,6,Directed,51.048332,16.960160000000002,51.075531,17.010487
0,67,1,Directed,51.048332,16.960160000000002,51.119167,16.988611
0,86,1,Directed,51.048332,16.960160000000002,51.123011,16.975548999999994
0,126,1,Directed,51.048332,16.960160000000002,51.08620300000001,17.012163
0,130,9,Directed,51.048332,16.960160000000002,51.06704600000001,16.99616
0,131,3,Directed,51.048332,16.960160000000002,51.068191,17.004075
0,137,2,Directed,51.048332,16.960160000000002,51.11185,17.060064
0,142,1,Directed,51.048332,16.960160000000002,51.073293,16.994730999999998
0,154,1,Directed,51.048332,16.960160000000002,51.107273,17.033485
0,162,35,Directed,51.048332,16.960160000000002,51.064218,16.978548
0,176,1,Directed,51.048332,16.960160000000002,51.05844,17.014397
0,177,1,Directed,51.048332,16.960160000000002,51.060148,17.004175
0,183,1,Directed,51.048332,16.960160000000002,51.061445,16.996538
0,191,2,Directed,51.048332,16.960160000000002,51.090458,17.024462
1,10,1,Directed,51.089356,17.001061,51.074422,17.030970999999994
1,15,1,Directed,51.089356,17.001061,51.116737,17.033555
1,17,2,Directed,51.089356,17.001061,51.126044,16.9685
1,18,4,Directed,51.089356,17.001061,51.098761,17.036521
1,19,8,Directed,51.089356,17.001061,51.098761,17.036521
1,20,2,Directed,51.089356,17.001061,51.094988,17.032866000000002
1,26,25,Directed,51.089356,17.001061,51.094516,16.980204
1,27,5,Directed,51.089356,17.001061,51.09599,16.988189000000002
1,28,13,Directed,51.089356,17.001061,51.099518,17.001193
1,30,12,Directed,51.089356,17.001061,51.095379,17.007788
1,31,2,Directed,51.089356,17.001061,51.06633400000001,17.033278
1,32,7,Directed,51.089356,17.001061,51.091669,16.986062
1,41,5,Directed,51.089356,17.001061,51.091066,17.032278
1,46,1,Directed,51.089356,17.001061,51.10944600000001,17.026367
1,48,1,Directed,51.089356,17.001061,51.109666,16.96882
1,50,1,Directed,51.089356,17.001061,51.094594,17.026839000000002
1,55,1,Directed,51.089356,17.001061,51.132354,16.973354999999998
1,61,17,Directed,51.089356,17.001061,51.093412,17.003764999999998
1,62,1,Directed,51.089356,17.001061,51.075531,17.010487
1,68,2,Directed,51.089356,17.001061,51.11298,17.011774
1,99,2,Directed,51.089356,17.001061,51.08413,16.972012
1,104,26,Directed,51.089356,17.001061,51.101199,17.008541
1,107,1,Directed,51.089356,17.001061,51.140669,16.958029
1,113,4,Directed,51.089356,17.001061,51.103544,17.031901
1,114,1,Directed,51.089356,17.001061,51.104405,17.02338
1,116,3,Directed,51.089356,17.001061,51.08949000000001,17.015583
1,126,57,Directed,51.089356,17.001061,51.08620300000001,17.012163
1,127,3,Directed,51.089356,17.001061,51.099443,17.028921
1,130,1,Directed,51.089356,17.001061,51.06704600000001,16.99616
1,131,2,Directed,51.089356,17.001061,51.068191,17.004075
1,132,9,Directed,51.089356,17.001061,51.07951,16.987876
1,135,1,Directed,51.089356,17.001061,51.111962,16.999548
1,138,1,Directed,51.089356,17.001061,51.110699,17.032366
1,142,20,Directed,51.089356,17.001061,51.073293,16.994730999999998
1,151,11,Directed,51.089356,17.001061,51.112125,16.960254
1,153,4,Directed,51.089356,17.001061,51.094481,17.019594
1,154,2,Directed,51.089356,17.001061,51.107273,17.033485
1,155,2,Directed,51.089356,17.001061,51.080412,17.06235
1,156,2,Directed,51.089356,17.001061,51.111669,16.974196
1,162,1,Directed,51.089356,17.001061,51.064218,16.978548
1,164,1,Directed,51.089356,17.001061,51.110252,17.034712
1,170,1,Directed,51.089356,17.001061,51.113927,17.050524
1,171,1,Directed,51.089356,17.001061,51.117381,17.007184
1,172,11,Directed,51.089356,17.001061,51.097288,17.014321
1,173,2,Directed,51.089356,17.001061,51.102221,17.013382999999994
1,176,1,Directed,51.089356,17.001061,51.05844,17.014397
1,177,1,Directed,51.089356,17.001061,51.060148,17.004175
1,178,4,Directed,51.089356,17.001061,51.083118,17.049067
1,179,7,Directed,51.089356,17.001061,51.083106,17.035009
1,183,1,Directed,51.089356,17.001061,51.061445,16.996538
1,190,5,Directed,51.089356,17.001061,51.083806,17.025047
1,191,5,Directed,51.089356,17.001061,51.090458,17.024462
1,197,3,Directed,51.089356,17.001061,51.076315,17.042002
1,198,1,Directed,51.089356,17.001061,51.076985,17.047129
1,199,14,Directed,51.089356,17.001061,51.098058,17.007049
2,7,12,Directed,51.13283300000001,17.065654000000002,51.138691,17.059815
2,8,1,Directed,51.13283300000001,17.065654000000002,51.141671,17.026285
2,16,2,Directed,51.13283300000001,17.065654000000002,51.117021,17.042163000000002
2,25,6,Directed,51.13283300000001,17.065654000000002,51.141631,17.123732
2,38,7,Directed,51.13283300000001,17.065654000000002,51.128383,17.055035999999998
2,43,2,Directed,51.13283300000001,17.065654000000002,51.147,17.042177
2,45,5,Directed,51.13283300000001,17.065654000000002,51.137259,17.048281
2,46,2,Directed,51.13283300000001,17.065654000000002,51.10944600000001,17.026367
2,47,1,Directed,51.13283300000001,17.065654000000002,51.145917,17.133
2,54,32,Directed,51.13283300000001,17.065654000000002,51.140942,17.069172000000002
2,60,2,Directed,51.13283300000001,17.065654000000002,51.128375,17.036675
2,63,25,Directed,51.13283300000001,17.065654000000002,51.14225,17.087622
2,64,2,Directed,51.13283300000001,17.065654000000002,51.14589,17.112374
2,66,1,Directed,51.13283300000001,17.065654000000002,51.117883,17.027992
2,75,3,Directed,51.13283300000001,17.065654000000002,51.110477,17.118013
2,88,4,Directed,51.13283300000001,17.065654000000002,51.118728,17.058332
2,89,3,Directed,51.13283300000001,17.065654000000002,51.124738,17.045497
2,90,5,Directed,51.13283300000001,17.065654000000002,51.12218,17.052391
2,93,4,Directed,51.13283300000001,17.065654000000002,51.137485,17.02981
2,102,1,Directed,51.13283300000001,17.065654000000002,51.148727,17.022253
2,105,6,Directed,51.13283300000001,17.065654000000002,51.113134,17.03947
2,109,2,Directed,51.13283300000001,17.065654000000002,51.108014,17.040789999999998
2,110,2,Directed,51.13283300000001,17.065654000000002,51.114099,17.067557
2,116,1,Directed,51.13283300000001,17.065654000000002,51.08949000000001,17.015583
2,119,1,Directed,51.13283300000001,17.065654000000002,51.114005,17.034463
2,120,2,Directed,51.13283300000001,17.065654000000002,51.12065,17.036509
2,121,1,Directed,51.13283300000001,17.065654000000002,51.142008,17.127019
2,122,1,Directed,51.13283300000001,17.065654000000002,51.121321,17.043397
2,129,5,Directed,51.13283300000001,17.065654000000002,51.130538,17.044302
2,137,1,Directed,51.13283300000001,17.065654000000002,51.11185,17.060064
2,140,4,Directed,51.13283300000001,17.065654000000002,51.11580900000001,17.060865
2,141,1,Directed,51.13283300000001,17.065654000000002,51.116799,17.051385
2,144,10,Directed,51.13283300000001,17.065654000000002,51.149044,17.075579
2,157,1,Directed,51.13283300000001,17.065654000000002,51.09718400000001,17.056022
2,158,3,Directed,51.13283300000001,17.065654000000002,51.104557,17.048582
2,163,4,Directed,51.13283300000001,17.065654000000002,51.15529,17.133334
2,164,1,Directed,51.13283300000001,17.065654000000002,51.110252,17.034712
2,170,3,Directed,51.13283300000001,17.065654000000002,51.113927,17.050524
2,175,1,Directed,51.13283300000001,17.065654000000002,51.16035,17.133834
2,181,34,Directed,51.13283300000001,17.065654000000002,51.131659,17.078879
2,182,2,Directed,51.13283300000001,17.065654000000002,51.098761,17.036521
2,184,4,Directed,51.13283300000001,17.065654000000002,51.12018,17.077047
2,185,2,Directed,51.13283300000001,17.065654000000002,51.120166,17.077492000000003
2,186,6,Directed,51.13283300000001,17.065654000000002,51.1422,17.083
2,201,4,Directed,51.13283300000001,17.065654000000002,51.125443,17.050309
2,202,1,Directed,51.13283300000001,17.065654000000002,51.12246,17.047759
2,203,1,Directed,51.13283300000001,17.065654000000002,51.135851,17.036645999999998
3,4,4,Directed,51.10351,17.114487,51.102301,17.116356
3,54,1,Directed,51.10351,17.114487,51.140942,17.069172000000002
3,70,1,Directed,51.10351,17.114487,51.116938,17.000218
3,75,2,Directed,51.10351,17.114487,51.110477,17.118013
3,77,11,Directed,51.10351,17.114487,51.113969,17.103862
3,78,1,Directed,51.10351,17.114487,51.11901,17.12267
3,95,2,Directed,51.10351,17.114487,51.102104,17.102104
3,96,1,Directed,51.10351,17.114487,51.101518,17.108577
3,103,4,Directed,51.10351,17.114487,51.109407,17.09786
3,118,2,Directed,51.10351,17.114487,51.113427,17.006239
3,133,1,Directed,51.10351,17.114487,51.111781,17.06875
3,137,3,Directed,51.10351,17.114487,51.11185,17.060064
3,148,1,Directed,51.10351,17.114487,51.119452,17.096475
3,149,5,Directed,51.10351,17.114487,51.106894,17.142837
3,184,3,Directed,51.10351,17.114487,51.12018,17.077047
3,189,2,Directed,51.10351,17.114487,51.107342,17.061795999999998
4,3,4,Directed,51.102301,17.116356,51.10351,17.114487
4,75,13,Directed,51.102301,17.116356,51.110477,17.118013
4,77,1,Directed,51.102301,17.116356,51.113969,17.103862
4,87,1,Directed,51.102301,17.116356,51.107342,17.061795999999998
4,95,6,Directed,51.102301,17.116356,51.102104,17.102104
4,96,6,Directed,51.102301,17.116356,51.101518,17.108577
4,103,10,Directed,51.102301,17.116356,51.109407,17.09786
4,118,2,Directed,51.102301,17.116356,51.113427,17.006239
4,137,1,Directed,51.102301,17.116356,51.11185,17.060064
4,168,1,Directed,51.102301,17.116356,51.10353900000001,17.085639
4,169,4,Directed,51.102301,17.116356,51.104126,17.074197
4,189,5,Directed,51.102301,17.116356,51.107342,17.061795999999998
5,1,1,Directed,51.085218,17.048482999999994,51.089356,17.001061
5,10,10,Directed,51.085218,17.048482999999994,51.074422,17.030970999999994
5,11,3,Directed,51.085218,17.048482999999994,51.056171,17.057259
5,18,1,Directed,51.085218,17.048482999999994,51.098761,17.036521
5,19,5,Directed,51.085218,17.048482999999994,51.098761,17.036521
5,20,1,Directed,51.085218,17.048482999999994,51.094988,17.032866000000002
5,24,1,Directed,51.085218,17.048482999999994,51.091722,17.04042
5,26,1,Directed,51.085218,17.048482999999994,51.094516,16.980204
5,31,1,Directed,51.085218,17.048482999999994,51.06633400000001,17.033278
5,34,1,Directed,51.085218,17.048482999999994,51.089545,17.044906
5,41,4,Directed,51.085218,17.048482999999994,51.091066,17.032278
5,42,3,Directed,51.085218,17.048482999999994,51.087889000000004,17.038932
5,49,1,Directed,51.085218,17.048482999999994,51.089862,17.023574
5,51,2,Directed,51.085218,17.048482999999994,51.064879,17.065862
5,57,2,Directed,51.085218,17.048482999999994,51.098948,17.05106
5,59,1,Directed,51.085218,17.048482999999994,51.089776,17.062561
5,91,9,Directed,51.085218,17.048482999999994,51.087218,17.051367000000006
5,92,1,Directed,51.085218,17.048482999999994,51.085022,17.053178
5,126,5,Directed,51.085218,17.048482999999994,51.08620300000001,17.012163
5,127,2,Directed,51.085218,17.048482999999994,51.099443,17.028921
5,131,1,Directed,51.085218,17.048482999999994,51.068191,17.004075
5,137,1,Directed,51.085218,17.048482999999994,51.11185,17.060064
5,155,8,Directed,51.085218,17.048482999999994,51.080412,17.06235
5,157,1,Directed,51.085218,17.048482999999994,51.09718400000001,17.056022
5,158,3,Directed,51.085218,17.048482999999994,51.104557,17.048582
5,170,1,Directed,51.085218,17.048482999999994,51.113927,17.050524
5,178,3,Directed,51.085218,17.048482999999994,51.083118,17.049067
5,179,8,Directed,51.085218,17.048482999999994,51.083106,17.035009
5,187,1,Directed,51.085218,17.048482999999994,51.108894,17.01941
5,190,3,Directed,51.085218,17.048482999999994,51.083806,17.025047
5,191,4,Directed,51.085218,17.048482999999994,51.090458,17.024462
5,192,1,Directed,51.085218,17.048482999999994,51.076778,17.018105
5,193,3,Directed,51.085218,17.048482999999994,51.089266,17.02968
5,197,2,Directed,51.085218,17.048482999999994,51.076315,17.042002
5,198,4,Directed,51.085218,17.048482999999994,51.076985,17.047129
6,2,2,Directed,51.139829,17.032705,51.13283300000001,17.065654000000002
6,8,2,Directed,51.139829,17.032705,51.141671,17.026285
6,43,17,Directed,51.139829,17.032705,51.147,17.042177
6,54,3,Directed,51.139829,17.032705,51.140942,17.069172000000002
6,60,2,Directed,51.139829,17.032705,51.128375,17.036675
6,70,3,Directed,51.139829,17.032705,51.116938,17.000218
6,90,1,Directed,51.139829,17.032705,51.12218,17.052391
6,102,1,Directed,51.139829,17.032705,51.148727,17.022253
6,113,1,Directed,51.139829,17.032705,51.103544,17.031901
6,119,1,Directed,51.139829,17.032705,51.114005,17.034463
6,120,1,Directed,51.139829,17.032705,51.12065,17.036509
6,171,1,Directed,51.139829,17.032705,51.117381,17.007184
6,188,1,Directed,51.139829,17.032705,51.12479,17.034810999999998
6,189,2,Directed,51.139829,17.032705,51.107342,17.061795999999998
6,203,5,Directed,51.139829,17.032705,51.135851,17.036645999999998
6,204,2,Directed,51.139829,17.032705,51.151616,17.027542999999998
7,2,12,Directed,51.138691,17.059815,51.13283300000001,17.065654000000002
7,6,2,Directed,51.138691,17.059815,51.139829,17.032705
7,16,3,Directed,51.138691,17.059815,51.117021,17.042163000000002
7,17,8,Directed,51.138691,17.059815,51.126044,16.9685
7,18,1,Directed,51.138691,17.059815,51.098761,17.036521
7,37,1,Directed,51.138691,17.059815,51.109153000000006,17.060364
7,38,2,Directed,51.138691,17.059815,51.128383,17.055035999999998
7,43,2,Directed,51.138691,17.059815,51.147,17.042177
7,45,9,Directed,51.138691,17.059815,51.137259,17.048281
7,54,18,Directed,51.138691,17.059815,51.140942,17.069172000000002
7,60,2,Directed,51.138691,17.059815,51.128375,17.036675
7,63,8,Directed,51.138691,17.059815,51.14225,17.087622
7,90,6,Directed,51.138691,17.059815,51.12218,17.052391
7,93,6,Directed,51.138691,17.059815,51.137485,17.02981
7,102,1,Directed,51.138691,17.059815,51.148727,17.022253
7,105,2,Directed,51.138691,17.059815,51.113134,17.03947
7,110,1,Directed,51.138691,17.059815,51.114099,17.067557
7,115,1,Directed,51.138691,17.059815,51.110879,17.047646
7,117,1,Directed,51.138691,17.059815,51.123727,17.029633
7,120,2,Directed,51.138691,17.059815,51.12065,17.036509
7,141,1,Directed,51.138691,17.059815,51.116799,17.051385
7,144,3,Directed,51.138691,17.059815,51.149044,17.075579
7,158,1,Directed,51.138691,17.059815,51.104557,17.048582
7,170,1,Directed,51.138691,17.059815,51.113927,17.050524
7,188,4,Directed,51.138691,17.059815,51.12479,17.034810999999998
7,203,11,Directed,51.138691,17.059815,51.135851,17.036645999999998
8,2,2,Directed,51.141671,17.026285,51.13283300000001,17.065654000000002
8,6,2,Directed,51.141671,17.026285,51.139829,17.032705
8,16,1,Directed,51.141671,17.026285,51.117021,17.042163000000002
8,29,1,Directed,51.141671,17.026285,51.10879600000001,16.915927
8,43,2,Directed,51.141671,17.026285,51.147,17.042177
8,45,2,Directed,51.141671,17.026285,51.137259,17.048281
8,54,11,Directed,51.141671,17.026285,51.140942,17.069172000000002
8,55,1,Directed,51.141671,17.026285,51.132354,16.973354999999998
8,60,3,Directed,51.141671,17.026285,51.128375,17.036675
8,63,1,Directed,51.141671,17.026285,51.14225,17.087622
8,69,4,Directed,51.141671,17.026285,51.12522,16.984048
8,86,1,Directed,51.141671,17.026285,51.123011,16.975548999999994
8,93,5,Directed,51.141671,17.026285,51.137485,17.02981
8,102,18,Directed,51.141671,17.026285,51.148727,17.022253
8,105,1,Directed,51.141671,17.026285,51.113134,17.03947
8,106,1,Directed,51.141671,17.026285,51.141217,16.943794
8,107,3,Directed,51.141671,17.026285,51.140669,16.958029
8,117,4,Directed,51.141671,17.026285,51.123727,17.029633
8,118,2,Directed,51.141671,17.026285,51.113427,17.006239
8,119,1,Directed,51.141671,17.026285,51.114005,17.034463
8,121,1,Directed,51.141671,17.026285,51.142008,17.127019
8,137,1,Directed,51.141671,17.026285,51.11185,17.060064
8,138,3,Directed,51.141671,17.026285,51.110699,17.032366
8,146,3,Directed,51.141671,17.026285,51.163349,16.896297
8,170,8,Directed,51.141671,17.026285,51.113927,17.050524
8,171,1,Directed,51.141671,17.026285,51.117381,17.007184
8,181,2,Directed,51.141671,17.026285,51.131659,17.078879
8,188,1,Directed,51.141671,17.026285,51.12479,17.034810999999998
8,203,13,Directed,51.141671,17.026285,51.135851,17.036645999999998
8,204,9,Directed,51.141671,17.026285,51.151616,17.027542999999998
9,53,1,Directed,51.143921,16.889872,51.139671,16.933343
9,73,4,Directed,51.143921,16.889872,51.132785,16.956791
9,145,1,Directed,51.143921,16.889872,51.164281,16.8971
9,146,3,Directed,51.143921,16.889872,51.163349,16.896297
9,165,23,Directed,51.143921,16.889872,51.154378,16.898641
9,194,1,Directed,51.143921,16.889872,51.145829,16.867231
10,1,3,Directed,51.074422,17.030970999999994,51.089356,17.001061
10,5,8,Directed,51.074422,17.030970999999994,51.085218,17.048482999999994
10,11,1,Directed,51.074422,17.030970999999994,51.056171,17.057259
10,18,4,Directed,51.074422,17.030970999999994,51.098761,17.036521
10,19,20,Directed,51.074422,17.030970999999994,51.098761,17.036521
10,20,16,Directed,51.074422,17.030970999999994,51.094988,17.032866000000002
10,23,1,Directed,51.074422,17.030970999999994,51.108142,17.042089
10,24,2,Directed,51.074422,17.030970999999994,51.091722,17.04042
10,30,1,Directed,51.074422,17.030970999999994,51.095379,17.007788
10,31,25,Directed,51.074422,17.030970999999994,51.06633400000001,17.033278
10,37,1,Directed,51.074422,17.030970999999994,51.109153000000006,17.060364
10,41,4,Directed,51.074422,17.030970999999994,51.091066,17.032278
10,42,5,Directed,51.074422,17.030970999999994,51.087889000000004,17.038932
10,44,1,Directed,51.074422,17.030970999999994,51.081881,17.077476
10,46,2,Directed,51.074422,17.030970999999994,51.10944600000001,17.026367
10,48,1,Directed,51.074422,17.030970999999994,51.109666,16.96882
10,49,6,Directed,51.074422,17.030970999999994,51.089862,17.023574
10,51,3,Directed,51.074422,17.030970999999994,51.064879,17.065862
10,56,1,Directed,51.074422,17.030970999999994,51.103982,17.037219
10,57,2,Directed,51.074422,17.030970999999994,51.098948,17.05106
10,80,1,Directed,51.074422,17.030970999999994,51.064335,17.08426
10,91,2,Directed,51.074422,17.030970999999994,51.087218,17.051367000000006
10,92,2,Directed,51.074422,17.030970999999994,51.085022,17.053178
10,104,1,Directed,51.074422,17.030970999999994,51.101199,17.008541
10,105,1,Directed,51.074422,17.030970999999994,51.113134,17.03947
10,109,4,Directed,51.074422,17.030970999999994,51.108014,17.040789999999998
10,112,1,Directed,51.074422,17.030970999999994,51.111023,17.021313
10,116,9,Directed,51.074422,17.030970999999994,51.08949000000001,17.015583
10,126,13,Directed,51.074422,17.030970999999994,51.08620300000001,17.012163
10,127,1,Directed,51.074422,17.030970999999994,51.099443,17.028921
10,130,6,Directed,51.074422,17.030970999999994,51.06704600000001,16.99616
10,131,2,Directed,51.074422,17.030970999999994,51.068191,17.004075
10,137,5,Directed,51.074422,17.030970999999994,51.11185,17.060064
10,138,16,Directed,51.074422,17.030970999999994,51.110699,17.032366
10,142,1,Directed,51.074422,17.030970999999994,51.073293,16.994730999999998
10,150,1,Directed,51.074422,17.030970999999994,51.057008,17.022492
10,151,1,Directed,51.074422,17.030970999999994,51.112125,16.960254
10,153,3,Directed,51.074422,17.030970999999994,51.094481,17.019594
10,155,1,Directed,51.074422,17.030970999999994,51.080412,17.06235
10,156,3,Directed,51.074422,17.030970999999994,51.111669,16.974196
10,158,2,Directed,51.074422,17.030970999999994,51.104557,17.048582
10,169,1,Directed,51.074422,17.030970999999994,51.104126,17.074197
10,172,1,Directed,51.074422,17.030970999999994,51.097288,17.014321
10,174,1,Directed,51.074422,17.030970999999994,51.09659600000001,17.014872
10,176,5,Directed,51.074422,17.030970999999994,51.05844,17.014397
10,177,1,Directed,51.074422,17.030970999999994,51.060148,17.004175
10,178,5,Directed,51.074422,17.030970999999994,51.083118,17.049067
10,179,23,Directed,51.074422,17.030970999999994,51.083106,17.035009
10,180,4,Directed,51.074422,17.030970999999994,51.083747,17.06116
10,183,5,Directed,51.074422,17.030970999999994,51.061445,16.996538
10,190,12,Directed,51.074422,17.030970999999994,51.083806,17.025047
10,191,2,Directed,51.074422,17.030970999999994,51.090458,17.024462
10,192,1,Directed,51.074422,17.030970999999994,51.076778,17.018105
10,193,2,Directed,51.074422,17.030970999999994,51.089266,17.02968
10,196,3,Directed,51.074422,17.030970999999994,51.101353,17.027948000000002
10,197,10,Directed,51.074422,17.030970999999994,51.076315,17.042002
10,198,13,Directed,51.074422,17.030970999999994,51.076985,17.047129
10,199,1,Directed,51.074422,17.030970999999994,51.098058,17.007049
11,5,4,Directed,51.056171,17.057259,51.085218,17.048482999999994
11,10,1,Directed,51.056171,17.057259,51.074422,17.030970999999994
11,18,1,Directed,51.056171,17.057259,51.098761,17.036521
11,31,4,Directed,51.056171,17.057259,51.06633400000001,17.033278
11,33,3,Directed,51.056171,17.057259,51.12367,16.950611
11,34,1,Directed,51.056171,17.057259,51.089545,17.044906
11,36,14,Directed,51.056171,17.057259,51.058368,17.057318
11,51,1,Directed,51.056171,17.057259,51.064879,17.065862
11,59,1,Directed,51.056171,17.057259,51.089776,17.062561
11,80,1,Directed,51.056171,17.057259,51.064335,17.08426
11,98,1,Directed,51.056171,17.057259,51.073301,17.088672
11,150,1,Directed,51.056171,17.057259,51.057008,17.022492
11,155,3,Directed,51.056171,17.057259,51.080412,17.06235
11,178,3,Directed,51.056171,17.057259,51.083118,17.049067
11,179,1,Directed,51.056171,17.057259,51.083106,17.035009
11,183,1,Directed,51.056171,17.057259,51.061445,16.996538
11,197,4,Directed,51.056171,17.057259,51.076315,17.042002
11,198,3,Directed,51.056171,17.057259,51.076985,17.047129
12,17,3,Directed,51.126526,16.954624,51.126044,16.9685
12,19,1,Directed,51.126526,16.954624,51.098761,17.036521
12,26,2,Directed,51.126526,16.954624,51.094516,16.980204
12,33,4,Directed,51.126526,16.954624,51.12367,16.950611
12,53,5,Directed,51.126526,16.954624,51.139671,16.933343
12,67,3,Directed,51.126526,16.954624,51.119167,16.988611
12,72,3,Directed,51.126526,16.954624,51.130706,16.96637
12,73,6,Directed,51.126526,16.954624,51.132785,16.956791
12,74,4,Directed,51.126526,16.954624,51.126694,16.979678
12,79,1,Directed,51.126526,16.954624,51.099153,16.940916
12,83,2,Directed,51.126526,16.954624,51.116392,17.012762
12,106,3,Directed,51.126526,16.954624,51.141217,16.943794
12,109,1,Directed,51.126526,16.954624,51.108014,17.040789999999998
12,112,1,Directed,51.126526,16.954624,51.111023,17.021313
12,136,1,Directed,51.126526,16.954624,51.11578,16.947179000000002
12,147,1,Directed,51.126526,16.954624,51.115243,16.998519
12,151,2,Directed,51.126526,16.954624,51.112125,16.960254
12,167,1,Directed,51.126526,16.954624,51.137161,16.940623000000002
12,195,11,Directed,51.126526,16.954624,51.113086,17.001197
12,196,1,Directed,51.126526,16.954624,51.101353,17.027948000000002
12,200,1,Directed,51.126526,16.954624,51.122551,16.930101999999998
13,0,24,Directed,51.053396,16.971785,51.048332,16.960160000000002
13,14,25,Directed,51.053396,16.971785,51.047068,16.95721
13,26,2,Directed,51.053396,16.971785,51.094516,16.980204
13,62,3,Directed,51.053396,16.971785,51.075531,17.010487
