Source,Target,Weight,Type,lng_org,lat_org,lng_dest,lat_dest
0,13.0,37,Directed,51.048332,16.960160000000002,51.053396,16.971785
0,14.0,63,Directed,51.048332,16.960160000000002,51.047068,16.95721
0,20.0,1,Directed,51.048332,16.960160000000002,51.094988,17.032866000000002
0,23.0,2,Directed,51.048332,16.960160000000002,51.108142,17.042089
0,26.0,1,Directed,51.048332,16.960160000000002,51.094516,16.980204
0,29.0,2,Directed,51.048332,16.960160000000002,51.10879600000001,16.915927
0,32.0,1,Directed,51.048332,16.960160000000002,51.091669,16.986062
0,40.0,1,Directed,51.048332,16.960160000000002,51.110896,17.053273
0,62.0,3,Directed,51.048332,16.960160000000002,51.075531,17.010487
0,66.0,2,Directed,51.048332,16.960160000000002,51.117883,17.027992
0,86.0,1,Directed,51.048332,16.960160000000002,51.123011,16.975548999999994
0,114.0,1,Directed,51.048332,16.960160000000002,51.104405,17.02338
0,116.0,1,Directed,51.048332,16.960160000000002,51.08949000000001,17.015583
0,127.0,3,Directed,51.048332,16.960160000000002,51.099443,17.028921
0,130.0,10,Directed,51.048332,16.960160000000002,51.06704600000001,16.99616
0,131.0,6,Directed,51.048332,16.960160000000002,51.068191,17.004075
0,132.0,1,Directed,51.048332,16.960160000000002,51.07951,16.987876
0,142.0,7,Directed,51.048332,16.960160000000002,51.073293,16.994730999999998
0,143.0,2,Directed,51.048332,16.960160000000002,51.077248,16.963286
0,150.0,1,Directed,51.048332,16.960160000000002,51.057008,17.022492
0,160.0,2,Directed,51.048332,16.960160000000002,51.100095,16.951719
0,162.0,38,Directed,51.048332,16.960160000000002,51.064218,16.978548
0,172.0,1,Directed,51.048332,16.960160000000002,51.097288,17.014321
0,174.0,1,Directed,51.048332,16.960160000000002,51.09659600000001,17.014872
0,177.0,3,Directed,51.048332,16.960160000000002,51.060148,17.004175
0,191.0,2,Directed,51.048332,16.960160000000002,51.090458,17.024462
1,5.0,1,Directed,51.089356,17.001061,51.085218,17.048482999999994
1,10.0,7,Directed,51.089356,17.001061,51.074422,17.030970999999994
1,14.0,1,Directed,51.089356,17.001061,51.047068,16.95721
1,15.0,1,Directed,51.089356,17.001061,51.116737,17.033555
1,18.0,9,Directed,51.089356,17.001061,51.098761,17.036521
1,19.0,22,Directed,51.089356,17.001061,51.098761,17.036521
1,20.0,3,Directed,51.089356,17.001061,51.094988,17.032866000000002
1,23.0,7,Directed,51.089356,17.001061,51.108142,17.042089
1,26.0,39,Directed,51.089356,17.001061,51.094516,16.980204
1,27.0,11,Directed,51.089356,17.001061,51.09599,16.988189000000002
1,28.0,38,Directed,51.089356,17.001061,51.099518,17.001193
1,30.0,11,Directed,51.089356,17.001061,51.095379,17.007788
1,31.0,13,Directed,51.089356,17.001061,51.06633400000001,17.033278
1,32.0,11,Directed,51.089356,17.001061,51.091669,16.986062
1,34.0,1,Directed,51.089356,17.001061,51.089545,17.044906
1,41.0,10,Directed,51.089356,17.001061,51.091066,17.032278
1,46.0,6,Directed,51.089356,17.001061,51.10944600000001,17.026367
1,48.0,5,Directed,51.089356,17.001061,51.109666,16.96882
1,49.0,11,Directed,51.089356,17.001061,51.089862,17.023574
1,57.0,5,Directed,51.089356,17.001061,51.098948,17.05106
1,59.0,1,Directed,51.089356,17.001061,51.089776,17.062561
1,61.0,23,Directed,51.089356,17.001061,51.093412,17.003764999999998
1,62.0,14,Directed,51.089356,17.001061,51.075531,17.010487
1,67.0,1,Directed,51.089356,17.001061,51.119167,16.988611
1,68.0,1,Directed,51.089356,17.001061,51.11298,17.011774
1,70.0,2,Directed,51.089356,17.001061,51.116938,17.000218
1,86.0,1,Directed,51.089356,17.001061,51.123011,16.975548999999994
1,99.0,3,Directed,51.089356,17.001061,51.08413,16.972012
1,104.0,45,Directed,51.089356,17.001061,51.101199,17.008541
1,112.0,1,Directed,51.089356,17.001061,51.111023,17.021313
1,113.0,7,Directed,51.089356,17.001061,51.103544,17.031901
1,114.0,4,Directed,51.089356,17.001061,51.104405,17.02338
1,116.0,10,Directed,51.089356,17.001061,51.08949000000001,17.015583
1,126.0,112,Directed,51.089356,17.001061,51.08620300000001,17.012163
1,127.0,24,Directed,51.089356,17.001061,51.099443,17.028921
1,130.0,11,Directed,51.089356,17.001061,51.06704600000001,16.99616
1,131.0,2,Directed,51.089356,17.001061,51.068191,17.004075
1,132.0,17,Directed,51.089356,17.001061,51.07951,16.987876
1,142.0,21,Directed,51.089356,17.001061,51.073293,16.994730999999998
1,143.0,3,Directed,51.089356,17.001061,51.077248,16.963286
1,151.0,19,Directed,51.089356,17.001061,51.112125,16.960254
1,152.0,2,Directed,51.089356,17.001061,51.110092,16.955434
1,153.0,11,Directed,51.089356,17.001061,51.094481,17.019594
1,154.0,1,Directed,51.089356,17.001061,51.107273,17.033485
1,155.0,1,Directed,51.089356,17.001061,51.080412,17.06235
1,156.0,15,Directed,51.089356,17.001061,51.111669,16.974196
1,159.0,2,Directed,51.089356,17.001061,51.103313,16.945871
1,162.0,1,Directed,51.089356,17.001061,51.064218,16.978548
1,164.0,2,Directed,51.089356,17.001061,51.110252,17.034712
1,170.0,1,Directed,51.089356,17.001061,51.113927,17.050524
1,172.0,13,Directed,51.089356,17.001061,51.097288,17.014321
1,173.0,2,Directed,51.089356,17.001061,51.102221,17.013382999999994
1,174.0,3,Directed,51.089356,17.001061,51.09659600000001,17.014872
1,177.0,3,Directed,51.089356,17.001061,51.060148,17.004175
1,178.0,14,Directed,51.089356,17.001061,51.083118,17.049067
1,179.0,30,Directed,51.089356,17.001061,51.083106,17.035009
1,187.0,5,Directed,51.089356,17.001061,51.108894,17.01941
1,190.0,8,Directed,51.089356,17.001061,51.083806,17.025047
1,191.0,13,Directed,51.089356,17.001061,51.090458,17.024462
1,192.0,6,Directed,51.089356,17.001061,51.076778,17.018105
1,193.0,1,Directed,51.089356,17.001061,51.089266,17.02968
1,197.0,5,Directed,51.089356,17.001061,51.076315,17.042002
1,198.0,4,Directed,51.089356,17.001061,51.076985,17.047129
1,199.0,11,Directed,51.089356,17.001061,51.098058,17.007049
2,3.0,1,Directed,51.13283300000001,17.065654000000002,51.10351,17.114487
2,7.0,38,Directed,51.13283300000001,17.065654000000002,51.138691,17.059815
