name,value
Nyska / Piękna,0
Drobnera / Plac Bema,1
Ślężna / Aleja Wiśniowa,2
Berenta / Kasprowicza,3
Zaporoska / Grabiszyńska,4
Żmigrodzka / Broniewskiego,5
Plac Kościuszki (Renoma),6
Kościuszki / Komuny Paryskiej / Zgodna,7
Wyszyńskiego / Szczytnicka,8
Zachodnia / Poznańska,9
Bardzka / Piękna,10
pl. Orląt Lwowskich,11
Nowowiejska / Jedności Narodowej,12
Świeradowska (Ferio Gaj ),13
Kościuszki / Pułaskiego,14
Drzewieckiego / Dedala,15
Plac Legionów,16
Strzegomska / Estońska,17
Wita Stwosza / Szewska,18
Rynek,19
Szewska / Kazimierza Wielkiego ,20
Komandorska / Sanocka,21
Olszewskiego / Spółdzielcza,22
Gliniana / Gajowa,23
Grabiszyńska / Stalowa,24
"Paprotna / Obornicka, zajezdnia MPK",25
Hallera / Odkrywców,26
Legnicka / Zachodnia ,27
Aleja Kromera,28
Rondo Reagana,29
Komandorska / Kamienna,30
Wróblewskiego (ZOO),31
Sienkiewicza / Wyszyńskiego,32
Legnicka / Wejherowska,33
Powstańców Śląskich (Arkady Wrocławskie),34
al. Brücknera / Kwidzyńska,35
Ślężna / Skierniewicka,36
Jedności Narodowej / Wyszyńskiego,37
Plac Grunwaldzki / Polaka,38
Drobnera / Dubois,39
Plac Dominikański (Galeria Dominikańska),40
Promenady Wrocławskie,41
Traugutta / Pułaskiego,42
Boguszowska / Kosmonautów,43
Powstańcow Śląskich / Aleja Hallera,44
Jagiełły / Dmowskiego ,45
Aleja Hallera / Mielecka,46
Wróblewskiego (Teki),47
Grabiszyńska / Aleja Hallera,48
Kraszewskiego / Trzebnicka,49
al. Kochanowskiego / Kopernika,50
Legnicka (Park Magnolia),51
.RELOKACYJNA A1-4,52
Ślężna / Kamienna (Uniw. Ekonomiczny),53
Krucza / Mielecka / Stalowa,54
Nowowiejska / Wyszyńskiego,55
al. Karkonoska / Jeździecka,56
"Olszewskiego, pętla tramwajowa",57
Szczęśliwa (Sky Tower),58
Kazimierza Wielkiego (Helios),59
Fosa Miejska ,60
Racławicka / Rymarska,61
al. Armii Krajowej / Borowska,62
Plac Powstańców Śląskich,63
Legnicka / Młodych Techników,64
Krzycka / Aleja Karkonoska (Park Południowy),65
Dworzec Główny ,66
Traugutta / Kościuszki,67
Kamienna / Tomaszowska,68
al. Armii Krajowej / Bardzka,69
Żmigrodzka / Marino,70
Bezpieczna / Obornicka,71
Nowowiejska / Górnickiego,72
Mickiewicza / pętla tramwajowa,73
Lotnicza / Metalowców,74
Poniatowskiego / Oleśnicka,75
Pilczycka / Koszykarska,76
Kamienna / Borowska (Aquapark),77
Na Grobli (PWr - Geocentrum),78
Reymonta / Kleczkowska,79
Obornicka / Bałtycka,80
