name,value
Kamienna / Tomaszowska,0
Norwida / Wyspiańskiego (PWr),1
Świeradowska (Ferio Gaj ),2
Plac Kościuszki (Renoma),3
Ślężna / Aleja Wiśniowa,4
Łukasiewicza / Smoluchowskiego (PWr),5
Boguszowska / Kosmonautów,6
Plac Dominikański (Galeria Dominikańska),7
Fabryczna / Wagonowa,8
Aleja Kromera,9
Kościuszki / Pułaskiego,10
Nowowiejska / Górnickiego,11
Oporów (pętla tramwajowa),12
Wróblewskiego (Teki),13
Tarnogajska / Klimasa,14
Lotnicza / Na Ostatnim Groszu,15
pl. Orląt Lwowskich,16
Drobnera / Dubois,17
"Grochowa / Jemiołowa,",18
Żeromskiego / Daszyńskiego,19
Powstańcow Śląskich / Aleja Hallera,20
al. Karkonoska / Jeździecka,21
Mościckiego / Chińska ,22
Traugutta / Kościuszki,23
Zaporoska / Grabiszyńska,24
Stabłowicka / Główna ,25
Rynek,26
Obornicka / Bałtycka,27
al. Armii Krajowej / Borowska,28
Legnicka / Młodych Techników,29
Drobnera / Plac Bema,30
Poniatowskiego / Oleśnicka,31
Pereca / Grabiszyńska,32
Szewska / Kazimierza Wielkiego ,33
Skarbowców / Wietrzna,34
Powstańców Śląskich (Arkady Wrocławskie),35
Traugutta / Pułaskiego,36
Jagiełły / Dmowskiego ,37
Sienkiewicza / Piastowska,38
Promenady Wrocławskie,39
Mościckiego (stacja kolejowa),40
Dworzec Główny ,41
Plac Grunwaldzki (DS Ołówek),42
Nowowiejska / Wyszyńskiego,43
Śrubowa / Strzegomska,44
Kraszewskiego / Trzebnicka,45
Plac Jana Pawła II (Akademia Muzyczna),46
Sołtysowicka / Redycka,47
Hallera / Odkrywców,48
Janiszewskiego (PWr),49
Krzycka / Aleja Karkonoska (Park Południowy),50
Legnicka / Wejherowska,51
Kamienna / Borowska (Aquapark),52
Legnicka (Park Magnolia),53
Wyszyńskiego / Szczytnicka,54
Szczęśliwa (Sky Tower),55
Mickiewicza / pętla tramwajowa,56
Lotnicza / Bajana,57
pl. Powstańców Wielkopolskich,58
Opolska / pętla tramwajowa,59
Popowicka ,60
"Dworzec Główny, południe",61
al. Brücknera / Kwidzyńska,62
Kołłątaja / Podwale,63
Strzegomska / Rogowska ,64
Świdnicka / Piłsudskiego (Hotel Scandic),65
Strzegomska / Estońska,66
Stacyjna (Dworzec Mikołajów),67
Trymanda / Mińska,68
Graniczna / Strzegomska,69
Plac Strzegomski / Poznańska,70
Przyjaźni / Karkonoska,71
"Paprotna / Obornicka, zajezdnia MPK",72
Zwycięska / Ołtaszyńska,73
Ślężna / Kamienna (Uniw. Ekonomiczny),74
Nowowiejska / Jedności Narodowej,75
Dyrekcyjna / Borowska (Wroclavia),76
Drzewieckiego / Dedala,77
Rondo Reagana,78
Grabiszyńska / Aleja Hallera,79
Plac Powstańców Śląskich,80
Kościuszki / Komuny Paryskiej / Zgodna,81
Wita Stwosza / Szewska,82
Mrągowska / Rolna,83
Robotnicza / Fabryczna,84
Ślężna / pętla tramwajowa,85
Plac Staszica,86
Buforowa - Vivaldiego,87
Piaskowa / św. Ducha,88
Bezpieczna / Obornicka,89
Legnicka / Zachodnia ,90
Popowicka / Niedźwiedzia ,91
Tyrmanda / Trawowa,92
Komandorska / Sanocka,93
Klecińska / Duńska,94
Żmigrodzka / Marino,95
Przyjaźni,96
Żmigrodzka / Broniewskiego,97
Bystrzycka / Idzikowskiego,98
Wróblewskiego (ZOO),99
Poleska / Litewska,100
Kozanowska / Pilczycka,101
Zaporoska / Gajowicka,102
Plac Legionów,103
Semaforowa,104
Zachodnia / Poznańska,105
Joliot-Curie (Uwr),106
Nyska / Piękna,107
Krakowska / Leroy Merlin,108
Grabiszyńska / Stalowa,109
Solskiego / al. Piastów,110
Kazimierza Wielkiego (Helios),111
Bardzka / Piękna,112
Wałbrzyska - pętla tramwajowa,113
Plac Uniwersytecki (UWr),114
Czekoladowa / Wałbrzyska,115
Borowska (Uniw. Szpital Kliniczny),116
Reymonta / Kleczkowska,117
Jedności Narodowej / Wyszyńskiego,118
Żelazna / Pereca,119
Prochowicka / Dolnobrzeska,120
Plac Grunwaldzki / Polaka,121
Pilczycka (Stadion Miejski),122
Kamieńskiego / Jutrosińska,123
Wojanowska / Arbuzowa ,124
Komandorska / Kamienna,125
Hubska / Prudnicka,126
Racławicka / Rymarska,127
Marca Polo (Olimpia Port),128
Krucza / Mielecka / Stalowa,129
Osobowicka - pętla tramwajowa,130
Żeromskiego / Kluczborska,131
Grabiszyńska / Magazynierska (Corte Verona),132
Fosa Miejska ,133
Pilczycka / Koszykarska,134
Młodych Techników,135
al. Armii Krajowej / Bardzka,136
Waniliowa / Cynamonowa,137
Strachowskiego / Parafialna,138
Krzywoustego - Rynek Psie Pole,139
Opolska / Siemianowicka,140
Rogowska / Zemska,141
Lotnicza / Metalowców,142
Kurkowa / Dubois,143
Aleja Hallera / Mielecka,144
Wilanowska,145
Gliniana / Gajowa,146
Zatorska / Królewska - pętla MPK,147
Świeradowska / Krynicka,148
Hermanowska / Kołobrzeska,149
Leśnica - pętla tramwajowa,150
Na Grobli (PWr - Geocentrum),151
Strachocińska / Wieśniacza,152
Traktatowa (przystanek kolejowy),153
al. Poprzeczna / stacja kolejowa,154
Na Ostatnim Groszu,155
Ślężna / Skierniewicka,156
Nyska / Jesionowa,157
Maślicka / Stodolna,158
Bacciarellego / pętla autobusowa,159
Aleja Bielany,160
Mińska / stanisławowska,161
"Olszewskiego, pętla tramwajowa",162
Pilczycka / Kozanowska,163
Zwycięska / Agrestowa,164
Sienkiewicza / Wyszyńskiego,165
Plac Świętego Macieja / Trzebnicka,166
Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),167
Gorlicka / Litewska,168
Grota-Roweckiego / Parafialna,169
Zaporoska / Wielka / Krucza,170
Berenta / Kasprowicza,171
al. Kochanowskiego / Kopernika,172
Olszewskiego / Spółdzielcza,173
Kiełczowska,174
al. Armii Krajowej / Tarnogajska,175
Kosmonautów / Glinianki / WUWA2,176
Bałtycka / Żmigrodzka,177
Koszarowa / UWr,178
Kasprowicza / Syrokomli,179
Krzywoustego / Korona,180
Karwińska / Opolska,181
Bacciarellego,182
Osobowicka / Ostrowska,183
Miłoszycka / Swojczycka ,184
Okulickiego,185
"Kosmonautów / Fieldorfa, szpital wojewódzki",186
Żernicka,187
