interval_start,interval_end,bikes_in_use,bikes_total,bikes_percentage
2019-04-30 00:00:00,2019-04-30 00:15:00,0,1027,0.0
2019-04-30 00:15:00,2019-04-30 00:30:00,0,1027,0.0
2019-04-30 00:30:00,2019-04-30 00:45:00,0,1027,0.0
2019-04-30 00:45:00,2019-04-30 01:00:00,0,1027,0.0
2019-04-30 01:00:00,2019-04-30 01:15:00,0,1027,0.0
2019-04-30 01:15:00,2019-04-30 01:30:00,0,1027,0.0
2019-04-30 01:30:00,2019-04-30 01:45:00,0,1027,0.0
2019-04-30 01:45:00,2019-04-30 02:00:00,0,1027,0.0
2019-04-30 02:00:00,2019-04-30 02:15:00,0,1027,0.0
2019-04-30 02:15:00,2019-04-30 02:30:00,0,1027,0.0
2019-04-30 02:30:00,2019-04-30 02:45:00,0,1027,0.0
2019-04-30 02:45:00,2019-04-30 03:00:00,0,1027,0.0
2019-04-30 03:00:00,2019-04-30 03:15:00,0,1027,0.0
2019-04-30 03:15:00,2019-04-30 03:30:00,0,1027,0.0
2019-04-30 03:30:00,2019-04-30 03:45:00,0,1027,0.0
2019-04-30 03:45:00,2019-04-30 04:00:00,0,1027,0.0
2019-04-30 04:00:00,2019-04-30 04:15:00,0,1027,0.0
2019-04-30 04:15:00,2019-04-30 04:30:00,0,1027,0.0
2019-04-30 04:30:00,2019-04-30 04:45:00,0,1027,0.0
2019-04-30 04:45:00,2019-04-30 05:00:00,0,1027,0.0
2019-04-30 05:00:00,2019-04-30 05:15:00,0,1027,0.0
2019-04-30 05:15:00,2019-04-30 05:30:00,0,1027,0.0
2019-04-30 05:30:00,2019-04-30 05:45:00,0,1027,0.0
2019-04-30 05:45:00,2019-04-30 06:00:00,0,1027,0.0
2019-04-30 06:00:00,2019-04-30 06:15:00,0,1027,0.0
2019-04-30 06:15:00,2019-04-30 06:30:00,0,1027,0.0
2019-04-30 06:30:00,2019-04-30 06:45:00,0,1027,0.0
2019-04-30 06:45:00,2019-04-30 07:00:00,0,1027,0.0
2019-04-30 07:00:00,2019-04-30 07:15:00,0,1027,0.0
2019-04-30 07:15:00,2019-04-30 07:30:00,0,1027,0.0
2019-04-30 07:30:00,2019-04-30 07:45:00,0,1027,0.0
2019-04-30 07:45:00,2019-04-30 08:00:00,0,1027,0.0
2019-04-30 08:00:00,2019-04-30 08:15:00,0,1027,0.0
2019-04-30 08:15:00,2019-04-30 08:30:00,0,1027,0.0
2019-04-30 08:30:00,2019-04-30 08:45:00,0,1027,0.0
2019-04-30 08:45:00,2019-04-30 09:00:00,0,1027,0.0
2019-04-30 09:00:00,2019-04-30 09:15:00,0,1027,0.0
2019-04-30 09:15:00,2019-04-30 09:30:00,0,1027,0.0
2019-04-30 09:30:00,2019-04-30 09:45:00,1,1027,0.0009737098344693282
2019-04-30 09:45:00,2019-04-30 10:00:00,1,1027,0.0009737098344693282
2019-04-30 10:00:00,2019-04-30 10:15:00,1,1027,0.0009737098344693282
2019-04-30 10:15:00,2019-04-30 10:30:00,1,1027,0.0009737098344693282
2019-04-30 10:30:00,2019-04-30 10:45:00,1,1027,0.0009737098344693282
2019-04-30 10:45:00,2019-04-30 11:00:00,1,1027,0.0009737098344693282
2019-04-30 11:00:00,2019-04-30 11:15:00,1,1027,0.0009737098344693282
2019-04-30 11:15:00,2019-04-30 11:30:00,1,1027,0.0009737098344693282
2019-04-30 11:30:00,2019-04-30 11:45:00,1,1027,0.0009737098344693282
2019-04-30 11:45:00,2019-04-30 12:00:00,1,1027,0.0009737098344693282
2019-04-30 12:00:00,2019-04-30 12:15:00,1,1027,0.0009737098344693282
2019-04-30 12:15:00,2019-04-30 12:30:00,1,1027,0.0009737098344693282
2019-04-30 12:30:00,2019-04-30 12:45:00,1,1027,0.0009737098344693282
2019-04-30 12:45:00,2019-04-30 13:00:00,1,1027,0.0009737098344693282
2019-04-30 13:00:00,2019-04-30 13:15:00,2,1027,0.0019474196689386564
2019-04-30 13:15:00,2019-04-30 13:30:00,2,1027,0.0019474196689386564
2019-04-30 13:30:00,2019-04-30 13:45:00,2,1027,0.0019474196689386564
2019-04-30 13:45:00,2019-04-30 14:00:00,2,1027,0.0019474196689386564
2019-04-30 14:00:00,2019-04-30 14:15:00,2,1027,0.0019474196689386564
2019-04-30 14:15:00,2019-04-30 14:30:00,2,1027,0.0019474196689386564
2019-04-30 14:30:00,2019-04-30 14:45:00,2,1027,0.0019474196689386564
2019-04-30 14:45:00,2019-04-30 15:00:00,2,1027,0.0019474196689386564
2019-04-30 15:00:00,2019-04-30 15:15:00,2,1027,0.0019474196689386564
2019-04-30 15:15:00,2019-04-30 15:30:00,2,1027,0.0019474196689386564
2019-04-30 15:30:00,2019-04-30 15:45:00,2,1027,0.0019474196689386564
2019-04-30 15:45:00,2019-04-30 16:00:00,2,1027,0.0019474196689386564
2019-04-30 16:00:00,2019-04-30 16:15:00,2,1027,0.0019474196689386564
2019-04-30 16:15:00,2019-04-30 16:30:00,2,1027,0.0019474196689386564
2019-04-30 16:30:00,2019-04-30 16:45:00,2,1027,0.0019474196689386564
2019-04-30 16:45:00,2019-04-30 17:00:00,2,1027,0.0019474196689386564
2019-04-30 17:00:00,2019-04-30 17:15:00,2,1027,0.0019474196689386564
2019-04-30 17:15:00,2019-04-30 17:30:00,2,1027,0.0019474196689386564
2019-04-30 17:30:00,2019-04-30 17:45:00,2,1027,0.0019474196689386564
2019-04-30 17:45:00,2019-04-30 18:00:00,2,1027,0.0019474196689386564
2019-04-30 18:00:00,2019-04-30 18:15:00,3,1027,0.0029211295034079843
2019-04-30 18:15:00,2019-04-30 18:30:00,3,1027,0.0029211295034079843
2019-04-30 18:30:00,2019-04-30 18:45:00,4,1027,0.0038948393378773127
2019-04-30 18:45:00,2019-04-30 19:00:00,4,1027,0.0038948393378773127
2019-04-30 19:00:00,2019-04-30 19:15:00,7,1027,0.006815968841285297
2019-04-30 19:15:00,2019-04-30 19:30:00,7,1027,0.006815968841285297
2019-04-30 19:30:00,2019-04-30 19:45:00,8,1027,0.007789678675754625
2019-04-30 19:45:00,2019-04-30 20:00:00,8,1027,0.007789678675754625
2019-04-30 20:00:00,2019-04-30 20:15:00,8,1027,0.007789678675754625
2019-04-30 20:15:00,2019-04-30 20:30:00,8,1027,0.007789678675754625
2019-04-30 20:30:00,2019-04-30 20:45:00,8,1027,0.007789678675754625
2019-04-30 20:45:00,2019-04-30 21:00:00,8,1027,0.007789678675754625
2019-04-30 21:00:00,2019-04-30 21:15:00,9,1027,0.008763388510223954
2019-04-30 21:15:00,2019-04-30 21:30:00,9,1027,0.008763388510223954
2019-04-30 21:30:00,2019-04-30 21:45:00,10,1027,0.009737098344693282
2019-04-30 21:45:00,2019-04-30 22:00:00,11,1027,0.010710808179162609
2019-04-30 22:00:00,2019-04-30 22:15:00,11,1027,0.010710808179162609
2019-04-30 22:15:00,2019-04-30 22:30:00,12,1027,0.011684518013631937
2019-04-30 22:30:00,2019-04-30 22:45:00,14,1027,0.013631937682570594
2019-04-30 22:45:00,2019-04-30 23:00:00,18,1027,0.017526777020447908
2019-04-30 23:00:00,2019-04-30 23:15:00,20,1027,0.019474196689386564
2019-04-30 23:15:00,2019-04-30 23:30:00,23,1027,0.022395326192794548
2019-04-30 23:30:00,2019-04-30 23:45:00,26,1027,0.02531645569620253
2019-04-30 23:45:00,2019-05-01 00:00:00,48,1027,0.04673807205452775
2019-05-01 00:00:00,2019-05-01 00:15:00,83,1399,0.059328091493924234
2019-05-01 00:15:00,2019-05-01 00:30:00,80,1399,0.057183702644746245
2019-05-01 00:30:00,2019-05-01 00:45:00,69,1399,0.04932094353109364
2019-05-01 00:45:00,2019-05-01 01:00:00,71,1399,0.05075053609721229
2019-05-01 01:00:00,2019-05-01 01:15:00,54,1399,0.03859899928520372
2019-05-01 01:15:00,2019-05-01 01:30:00,52,1399,0.03716940671908506
2019-05-01 01:30:00,2019-05-01 01:45:00,61,1399,0.04360257326661901
2019-05-01 01:45:00,2019-05-01 02:00:00,56,1399,0.040028591851322376
2019-05-01 02:00:00,2019-05-01 02:15:00,52,1399,0.03716940671908506
2019-05-01 02:15:00,2019-05-01 02:30:00,50,1399,0.035739814152966405
2019-05-01 02:30:00,2019-05-01 02:45:00,52,1399,0.03716940671908506
2019-05-01 02:45:00,2019-05-01 03:00:00,41,1399,0.029306647605432452
2019-05-01 03:00:00,2019-05-01 03:15:00,45,1399,0.032165832737669764
2019-05-01 03:15:00,2019-05-01 03:30:00,44,1399,0.031451036454610434
2019-05-01 03:30:00,2019-05-01 03:45:00,26,1399,0.01858470335954253
2019-05-01 03:45:00,2019-05-01 04:00:00,30,1399,0.021443888491779844
2019-05-01 04:00:00,2019-05-01 04:15:00,23,1399,0.016440314510364547
2019-05-01 04:15:00,2019-05-01 04:30:00,20,1399,0.014295925661186561
2019-05-01 04:30:00,2019-05-01 04:45:00,22,1399,0.015725518227305217
2019-05-01 04:45:00,2019-05-01 05:00:00,21,1399,0.01501072194424589
2019-05-01 05:00:00,2019-05-01 05:15:00,23,1399,0.016440314510364547
2019-05-01 05:15:00,2019-05-01 05:30:00,22,1399,0.015725518227305217
2019-05-01 05:30:00,2019-05-01 05:45:00,21,1399,0.01501072194424589
2019-05-01 05:45:00,2019-05-01 06:00:00,22,1399,0.015725518227305217
2019-05-01 06:00:00,2019-05-01 06:15:00,26,1399,0.01858470335954253
2019-05-01 06:15:00,2019-05-01 06:30:00,32,1399,0.0228734810578985
2019-05-01 06:30:00,2019-05-01 06:45:00,31,1399,0.02215868477483917
2019-05-01 06:45:00,2019-05-01 07:00:00,24,1399,0.017155110793423873
2019-05-01 07:00:00,2019-05-01 07:15:00,26,1399,0.01858470335954253
2019-05-01 07:15:00,2019-05-01 07:30:00,29,1399,0.020729092208720514
2019-05-01 07:30:00,2019-05-01 07:45:00,34,1399,0.024303073624017155
2019-05-01 07:45:00,2019-05-01 08:00:00,39,1399,0.027877055039313797
2019-05-01 08:00:00,2019-05-01 08:15:00,36,1399,0.02573266619013581
2019-05-01 08:15:00,2019-05-01 08:30:00,41,1399,0.029306647605432452
2019-05-01 08:30:00,2019-05-01 08:45:00,47,1399,0.03359542530378842
2019-05-01 08:45:00,2019-05-01 09:00:00,43,1399,0.030736240171551108
2019-05-01 09:00:00,2019-05-01 09:15:00,38,1399,0.027162258756254467
2019-05-01 09:15:00,2019-05-01 09:30:00,55,1399,0.039313795568263046
2019-05-01 09:30:00,2019-05-01 09:45:00,62,1399,0.04431736954967834
2019-05-01 09:45:00,2019-05-01 10:00:00,67,1399,0.04789135096497498
2019-05-01 10:00:00,2019-05-01 10:15:00,81,1399,0.057898498927805575
