lng,lat
51.048332,16.96016
51.089356,17.001061
51.132833,17.065654
51.10351,17.114487
51.102301,17.116356
51.085218,17.048483
51.139829,17.032705
51.138691,17.059815
51.141671,17.026285
51.143921,16.889872
51.074422,17.030971
51.056171,17.057259
51.126526,16.954624
51.053396,16.971785
51.047068,16.95721
51.116737,17.033555
51.117021,17.042163
51.126044,16.9685
51.098761,17.036521
51.098761,17.036521
51.094988,17.032866
51.112338,16.988766
51.11296,16.981661
51.108142,17.042089
51.091722,17.04042
51.141631,17.123732
51.094516,16.980204
51.09599,16.988189
51.099518,17.001193
51.108796,16.915927
51.095379,17.007788
51.066334,17.033278
51.091669,16.986062
51.12367,16.950611
51.089545,17.044906
51.116806,17.024477
51.058368,17.057318
51.109153,17.060364
51.128383,17.055036
51.124389,16.888575
51.110896,17.053273
51.091066,17.032278
51.538454,20.035117
51.147,17.042177
51.081881,17.077476
51.137259,17.048281
51.109446,17.026367
51.145917,17.133
51.109666,16.96882
51.089862,17.023574
51.094594,17.026839
52.200572,21.029504
51.144154,16.907596
51.139671,16.933343
51.140942,17.069172
51.132354,16.973355
51.103982,17.037219
51.098948,17.05106
51.099811,17.045436
51.089776,17.062561
51.128375,17.036675
51.093412,17.003765
51.075531,17.010487
51.14225,17.087622
51.14589,17.112374
51.17744,17.015876
51.117883,17.027992
51.119167,16.988611
51.11298,17.011774
51.12522,16.984048
51.116938,17.000218
51.152185,16.852105
51.130706,16.96637
51.132785,16.956791
51.126694,16.979678
51.110477,17.118013
51.157633,16.928037
51.113969,17.103862
51.11901,17.12267
52.18485,21.54695
51.064335,17.08426
51.058911,17.087216
51.149606,16.938213
51.116392,17.012762
51.119671,17.031387
51.104577,17.054383
51.123011,16.975549
51.107342,17.061796
51.118728,17.058332
51.124738,17.045497
51.12218,17.052391
51.087218,17.051367
51.085022,17.053178
51.137485,17.02981
51.170415,17.131615
51.102104,17.102104
51.101518,17.108577
51.071135,17.090939
51.073301,17.088672
51.08413,16.972012
51.14397,16.987623
51.13756,16.994193
51.148727,17.022253
51.109407,17.09786
51.101199,17.008541
51.113134,17.03947
51.141217,16.943794
51.140669,16.958029
51.132354,16.973355
51.108014,17.04079
51.114099,17.067557
51.112337,17.062745
51.111023,17.021313
51.103544,17.031901
51.104405,17.02338
51.110879,17.047646
51.08949,17.015583
51.123727,17.029633
51.113427,17.006239
51.114005,17.034463
51.12065,17.036509
51.142008,17.127019
51.121321,17.043397
51.126858,16.986331
51.128329,16.989946
51.12538,16.997371
51.086203,17.012163
51.099443,17.028921
51.151165,16.865421
51.130538,17.044302
51.067046,16.99616
51.068191,17.004075
51.07951,16.987876
51.111781,17.06875
51.127008,17.027783
51.111962,16.999548
51.11578,16.947179
51.11185,17.060064
51.110699,17.032366
51.061315,17.079764
51.115809,17.060865
51.116799,17.051385
51.073293,16.994731
51.077248,16.963286
51.149044,17.075579
51.164281,16.8971
51.163349,16.896297
51.115243,16.998519
51.119452,17.096475
51.106894,17.142837
51.057008,17.022492
51.112125,16.960254
51.110092,16.955434
51.094481,17.019594
51.107273,17.033485
51.080412,17.06235
51.111669,16.974196
51.097184,17.056022
51.104557,17.048582
51.103313,16.945871
51.100095,16.951719
51.175968,16.998719
51.064218,16.978548
51.15529,17.133334
51.110252,17.034712
51.154378,16.898641
51.142994,16.866611
51.137161,16.940623
51.103539,17.085639
51.104126,17.074197
51.113927,17.050524
51.117381,17.007184
51.097288,17.014321
51.102221,17.013383
51.096596,17.014872
51.16035,17.133834
51.05844,17.014397
51.060148,17.004175
51.083118,17.049067
51.083106,17.035009
51.083747,17.06116
51.131659,17.078879
51.098761,17.036521
51.061445,16.996538
51.12018,17.077047
51.120166,17.077492
51.1422,17.083
51.108894,17.01941
51.12479,17.034811
51.107342,17.061796
51.083806,17.025047
51.090458,17.024462
51.076778,17.018105
51.089266,17.02968
51.145829,16.867231
51.113086,17.001197
51.101353,17.027948
51.076315,17.042002
51.076985,17.047129
51.098058,17.007049
51.122551,16.930102
51.125443,17.050309
51.12246,17.047759
51.135851,17.036646
51.151616,17.027543
